product_id,product_name,category,sub_category,brand,price,original_price,discount_percentage,rating,review_count,stock_status,seller,warranty,color,size,material,closure_type,sole_material,occasion,gender,features,description,image_url,product_url
700011,Puma BMW Sneakers,Fashion,Sneakers,Puma,4799,6199,23,4.2,17892,In Stock,ShopWise Fashion,6 Months,Brown,10,Leather,Lace-Up,EVA,Casual,Unisex,"Memory Foam, Cushioned Sole, Anti-Slip","Puma BMW Sneakers sneakers with memory foam, cushioned sole, anti-slip. Ideal for travel use.",https://example.com/images/footwear/700011.jpg,https://example.com/products/700011
700012,Adidas Duramo SL,Fashion,Sneakers,Adidas,7499,9099,18,4.0,21465,In Stock,ShopWise Fashion,6 Months,Grey,11,Knit,Velcro,TPR,Running,Unisex,"Cushioned Sole, Lightweight, Anti-Slip","Adidas Duramo SL sneakers with cushioned sole, lightweight, anti-slip. Ideal for gym use.",https://example.com/images/footwear/700012.jpg,https://example.com/products/700012
700013,Crocs Bayaband,Fashion,Sneakers,Crocs,4399,4799,8,4.3,19615,In Stock,ShopWise Fashion,6 Months,Green,6,Canvas,Lace-Up,TPR,Casual,Unisex,"Cushioned Sole, Memory Foam, Water Resistant","Crocs Bayaband sneakers with cushioned sole, memory foam, water resistant. Ideal for casual use.",https://example.com/images/footwear/700013.jpg,https://example.com/products/700013
700014,Woodland Leather Boot,Fashion,Boots,Woodland,7699,9999,23,4.7,1807,In Stock,ShopWise Fashion,6 Months,Grey,10,Canvas,Velcro,Rubber,Casual,Unisex,"Lightweight, Arch Support, Anti-Slip","Woodland Leather Boot boots with lightweight, arch support, anti-slip. Ideal for travel use.",https://example.com/images/footwear/700014.jpg,https://example.com/products/700014
700015,Reebok Floatride,Fashion,Sneakers,Reebok,8399,9499,12,4.9,19728,In Stock,ShopWise Fashion,6 Months,Navy,8,Synthetic,Lace-Up,EVA,Gym,Unisex,"Anti-Slip, Lightweight, Water Resistant","Reebok Floatride sneakers with anti-slip, lightweight, water resistant. Ideal for gym use.",https://example.com/images/footwear/700015.jpg,https://example.com/products/700015
700016,Crocs Bayaband,Fashion,Sneakers,Crocs,9599,10999,13,4.5,1708,In Stock,ShopWise Fashion,6 Months,Black,9,Knit,Slip-On,TPR,Office,Unisex,"Breathable, Cushioned Sole, Lightweight","Crocs Bayaband sneakers with breathable, cushioned sole, lightweight. Ideal for outdoor use.",https://example.com/images/footwear/700016.jpg,https://example.com/products/700016
700017,Adidas Ultraboost Light,Fashion,Running Shoes,Adidas,10199,11899,14,4.5,8401,In Stock,ShopWise Fashion,6 Months,Grey,6,Leather,Slip-On,Rubber,Outdoor,Unisex,"Anti-Slip, Memory Foam, Breathable","Adidas Ultraboost Light running shoes with anti-slip, memory foam, breathable. Ideal for travel use.",https://example.com/images/footwear/700017.jpg,https://example.com/products/700017
700018,Woodland Leather Boot,Fashion,Boots,Woodland,4099,6299,35,4.8,9267,In Stock,ShopWise Fashion,6 Months,Red,7,Mesh,Velcro,EVA,Outdoor,Unisex,"Lightweight, Arch Support, Anti-Slip","Woodland Leather Boot boots with lightweight, arch support, anti-slip. Ideal for travel use.",https://example.com/images/footwear/700018.jpg,https://example.com/products/700018
700019,Nike Air Max,Fashion,Sneakers,Nike,5199,6699,22,4.8,10911,In Stock,ShopWise Fashion,6 Months,White,7,Canvas,Lace-Up,EVA,Travel,Unisex,"Anti-Slip, Cushioned Sole, Arch Support","Nike Air Max sneakers with anti-slip, cushioned sole, arch support. Ideal for outdoor use.",https://example.com/images/footwear/700019.jpg,https://example.com/products/700019
700020,Skechers Summits,Fashion,Sneakers,Skechers,5799,8099,28,4.9,13464,In Stock,ShopWise Fashion,6 Months,Blue,7,Leather,Slip-On,EVA,Office,Unisex,"Lightweight, Arch Support, Anti-Slip","Skechers Summits sneakers with lightweight, arch support, anti-slip. Ideal for gym use.",https://example.com/images/footwear/700020.jpg,https://example.com/products/700020
700021,Skechers Arch Fit,Fashion,Sneakers,Skechers,2999,5299,43,4.6,15596,In Stock,ShopWise Fashion,6 Months,Grey,6,Synthetic,Slip-On,Rubber,Office,Unisex,"Cushioned Sole, Water Resistant, Lightweight","Skechers Arch Fit sneakers with cushioned sole, water resistant, lightweight. Ideal for running use.",https://example.com/images/footwear/700021.jpg,https://example.com/products/700021
700022,Nike Court Vision,Fashion,Sneakers,Nike,7199,8299,13,4.0,17400,In Stock,ShopWise Fashion,6 Months,White,11,Mesh,Velcro,EVA,Casual,Unisex,"Cushioned Sole, Memory Foam, Lightweight","Nike Court Vision sneakers with cushioned sole, memory foam, lightweight. Ideal for office use.",https://example.com/images/footwear/700022.jpg,https://example.com/products/700022
700023,Crocs Bayaband,Fashion,Sneakers,Crocs,1999,3399,41,4.8,6213,In Stock,ShopWise Fashion,6 Months,Blue,9,Knit,Velcro,EVA,Outdoor,Unisex,"Anti-Slip, Arch Support, Breathable","Crocs Bayaband sneakers with anti-slip, arch support, breathable. Ideal for gym use.",https://example.com/images/footwear/700023.jpg,https://example.com/products/700023
700024,Crocs Bayaband,Fashion,Sneakers,Crocs,9299,10199,9,4.5,7935,In Stock,ShopWise Fashion,6 Months,Red,7,Canvas,Slip-On,TPR,Casual,Unisex,"Arch Support, Breathable, Memory Foam","Crocs Bayaband sneakers with arch support, breathable, memory foam. Ideal for travel use.",https://example.com/images/footwear/700024.jpg,https://example.com/products/700024
700025,Skechers Go Walk 7,Fashion,Sneakers,Skechers,8199,10099,19,5.0,3528,In Stock,ShopWise Fashion,6 Months,Brown,11,Mesh,Velcro,Rubber,Travel,Unisex,"Memory Foam, Arch Support, Cushioned Sole","Skechers Go Walk 7 sneakers with memory foam, arch support, cushioned sole. Ideal for travel use.",https://example.com/images/footwear/700025.jpg,https://example.com/products/700025
700026,Bata Casual Sneaker,Fashion,Sneakers,Bata,7199,8199,12,4.3,23794,In Stock,ShopWise Fashion,6 Months,Grey,6,Mesh,Lace-Up,TPR,Running,Unisex,"Cushioned Sole, Lightweight, Memory Foam","Bata Casual Sneaker sneakers with cushioned sole, lightweight, memory foam. Ideal for outdoor use.",https://example.com/images/footwear/700026.jpg,https://example.com/products/700026
700027,Bata Casual Sneaker,Fashion,Sneakers,Bata,8099,8499,5,4.3,18566,In Stock,ShopWise Fashion,6 Months,Blue,8,Leather,Slip-On,Rubber,Outdoor,Unisex,"Arch Support, Water Resistant, Memory Foam","Bata Casual Sneaker sneakers with arch support, water resistant, memory foam. Ideal for outdoor use.",https://example.com/images/footwear/700027.jpg,https://example.com/products/700027
700028,Woodland Outdoor Trek,Fashion,Sneakers,Woodland,7499,9699,23,4.3,5215,In Stock,ShopWise Fashion,6 Months,Blue,9,Mesh,Velcro,TPR,Gym,Unisex,"Cushioned Sole, Memory Foam, Water Resistant","Woodland Outdoor Trek sneakers with cushioned sole, memory foam, water resistant. Ideal for running use.",https://example.com/images/footwear/700028.jpg,https://example.com/products/700028
700029,Bata Formal Oxford,Fashion,Formal Shoes,Bata,1999,3499,43,4.0,21525,In Stock,ShopWise Fashion,6 Months,Navy,11,Mesh,Velcro,Rubber,Office,Unisex,"Lightweight, Memory Foam, Anti-Slip","Bata Formal Oxford formal shoes with lightweight, memory foam, anti-slip. Ideal for gym use.",https://example.com/images/footwear/700029.jpg,https://example.com/products/700029
700030,Reebok Nano X4,Fashion,Sneakers,Reebok,7499,9899,24,4.3,19716,In Stock,ShopWise Fashion,6 Months,Navy,10,Mesh,Slip-On,Rubber,Office,Unisex,"Arch Support, Breathable, Cushioned Sole","Reebok Nano X4 sneakers with arch support, breathable, cushioned sole. Ideal for gym use.",https://example.com/images/footwear/700030.jpg,https://example.com/products/700030
700031,Reebok Nano X4,Fashion,Sneakers,Reebok,9199,10599,13,4.5,1215,In Stock,ShopWise Fashion,6 Months,Green,8,Leather,Velcro,EVA,Gym,Unisex,"Breathable, Anti-Slip, Memory Foam","Reebok Nano X4 sneakers with breathable, anti-slip, memory foam. Ideal for office use.",https://example.com/images/footwear/700031.jpg,https://example.com/products/700031
700032,Nike Air Max,Fashion,Sneakers,Nike,6799,8799,23,4.3,2291,In Stock,ShopWise Fashion,6 Months,White,8,Knit,Slip-On,TPR,Office,Unisex,"Cushioned Sole, Lightweight, Arch Support","Nike Air Max sneakers with cushioned sole, lightweight, arch support. Ideal for travel use.",https://example.com/images/footwear/700032.jpg,https://example.com/products/700032
700033,Puma Smash v2,Fashion,Sneakers,Puma,7999,10399,23,4.6,19207,In Stock,ShopWise Fashion,6 Months,Black,6,Knit,Slip-On,EVA,Gym,Unisex,"Water Resistant, Breathable, Cushioned Sole","Puma Smash v2 sneakers with water resistant, breathable, cushioned sole. Ideal for travel use.",https://example.com/images/footwear/700033.jpg,https://example.com/products/700033
700034,Adidas Runfalcon 5,Fashion,Running Shoes,Adidas,9799,11599,16,4.2,13459,In Stock,ShopWise Fashion,6 Months,Green,10,Synthetic,Velcro,Rubber,Travel,Unisex,"Breathable, Cushioned Sole, Lightweight","Adidas Runfalcon 5 running shoes with breathable, cushioned sole, lightweight. Ideal for gym use.",https://example.com/images/footwear/700034.jpg,https://example.com/products/700034
700035,Reebok Floatride,Fashion,Sneakers,Reebok,9199,9799,6,4.6,20414,In Stock,ShopWise Fashion,6 Months,Brown,8,Canvas,Velcro,TPR,Office,Unisex,"Water Resistant, Anti-Slip, Memory Foam","Reebok Floatride sneakers with water resistant, anti-slip, memory foam. Ideal for casual use.",https://example.com/images/footwear/700035.jpg,https://example.com/products/700035
700036,Bata Power Runner,Fashion,Running Shoes,Bata,3399,4299,21,5.0,18016,In Stock,ShopWise Fashion,6 Months,Red,11,Mesh,Slip-On,TPR,Gym,Unisex,"Arch Support, Water Resistant, Memory Foam","Bata Power Runner running shoes with arch support, water resistant, memory foam. Ideal for outdoor use.",https://example.com/images/footwear/700036.jpg,https://example.com/products/700036
700037,Crocs Classic Clog,Fashion,Clogs,Crocs,2099,3999,48,4.4,5067,In Stock,ShopWise Fashion,6 Months,Black,7,Leather,Slip-On,Rubber,Casual,Unisex,"Arch Support, Breathable, Cushioned Sole","Crocs Classic Clog clogs with arch support, breathable, cushioned sole. Ideal for gym use.",https://example.com/images/footwear/700037.jpg,https://example.com/products/700037
700038,Bata Power Runner,Fashion,Running Shoes,Bata,7999,8699,8,4.1,9566,In Stock,ShopWise Fashion,6 Months,Grey,8,Mesh,Velcro,Rubber,Casual,Unisex,"Anti-Slip, Breathable, Cushioned Sole","Bata Power Runner running shoes with anti-slip, breathable, cushioned sole. Ideal for office use.",https://example.com/images/footwear/700038.jpg,https://example.com/products/700038
700039,Nike Air Max,Fashion,Sneakers,Nike,6699,8099,17,4.6,14408,In Stock,ShopWise Fashion,6 Months,Green,8,Canvas,Velcro,EVA,Travel,Unisex,"Breathable, Anti-Slip, Memory Foam","Nike Air Max sneakers with breathable, anti-slip, memory foam. Ideal for running use.",https://example.com/images/footwear/700039.jpg,https://example.com/products/700039
700040,Nike Revolution 7,Fashion,Sneakers,Nike,5499,6799,19,4.3,20745,In Stock,ShopWise Fashion,6 Months,White,7,Leather,Lace-Up,EVA,Outdoor,Unisex,"Arch Support, Cushioned Sole, Lightweight","Nike Revolution 7 sneakers with arch support, cushioned sole, lightweight. Ideal for casual use.",https://example.com/images/footwear/700040.jpg,https://example.com/products/700040
700041,Crocs Classic Clog,Fashion,Clogs,Crocs,2399,2899,17,5.0,24288,In Stock,ShopWise Fashion,6 Months,Green,7,Synthetic,Lace-Up,EVA,Office,Unisex,"Water Resistant, Memory Foam, Arch Support","Crocs Classic Clog clogs with water resistant, memory foam, arch support. Ideal for outdoor use.",https://example.com/images/footwear/700041.jpg,https://example.com/products/700041
700042,Bata Casual Sneaker,Fashion,Sneakers,Bata,8399,9299,10,4.8,473,In Stock,ShopWise Fashion,6 Months,Black,8,Mesh,Velcro,EVA,Outdoor,Unisex,"Lightweight, Cushioned Sole, Anti-Slip","Bata Casual Sneaker sneakers with lightweight, cushioned sole, anti-slip. Ideal for gym use.",https://example.com/images/footwear/700042.jpg,https://example.com/products/700042
700043,Bata Power Runner,Fashion,Running Shoes,Bata,7799,9099,14,4.6,14864,In Stock,ShopWise Fashion,6 Months,Black,6,Knit,Velcro,EVA,Running,Unisex,"Cushioned Sole, Memory Foam, Water Resistant","Bata Power Runner running shoes with cushioned sole, memory foam, water resistant. Ideal for casual use.",https://example.com/images/footwear/700043.jpg,https://example.com/products/700043
700044,Woodland Outdoor Trek,Fashion,Sneakers,Woodland,7899,10299,23,4.1,20159,In Stock,ShopWise Fashion,6 Months,Navy,9,Leather,Lace-Up,EVA,Gym,Unisex,"Memory Foam, Water Resistant, Arch Support","Woodland Outdoor Trek sneakers with memory foam, water resistant, arch support. Ideal for office use.",https://example.com/images/footwear/700044.jpg,https://example.com/products/700044
700045,Crocs Classic Clog,Fashion,Clogs,Crocs,2599,2999,13,4.9,21846,In Stock,ShopWise Fashion,6 Months,Black,8,Leather,Velcro,TPR,Outdoor,Unisex,"Lightweight, Anti-Slip, Breathable","Crocs Classic Clog clogs with lightweight, anti-slip, breathable. Ideal for gym use.",https://example.com/images/footwear/700045.jpg,https://example.com/products/700045
700046,Adidas Duramo SL,Fashion,Sneakers,Adidas,9299,11099,16,4.0,8597,In Stock,ShopWise Fashion,6 Months,Grey,7,Mesh,Slip-On,TPR,Casual,Unisex,"Arch Support, Memory Foam, Lightweight","Adidas Duramo SL sneakers with arch support, memory foam, lightweight. Ideal for outdoor use.",https://example.com/images/footwear/700046.jpg,https://example.com/products/700046
700047,Skechers Arch Fit,Fashion,Sneakers,Skechers,2399,4799,50,4.6,13587,In Stock,ShopWise Fashion,6 Months,Black,7,Mesh,Velcro,Rubber,Casual,Unisex,"Breathable, Water Resistant, Lightweight","Skechers Arch Fit sneakers with breathable, water resistant, lightweight. Ideal for office use.",https://example.com/images/footwear/700047.jpg,https://example.com/products/700047
700048,Bata Casual Sneaker,Fashion,Sneakers,Bata,2099,4299,51,4.2,13942,In Stock,ShopWise Fashion,6 Months,Green,10,Knit,Slip-On,Rubber,Gym,Unisex,"Memory Foam, Anti-Slip, Water Resistant","Bata Casual Sneaker sneakers with memory foam, anti-slip, water resistant. Ideal for casual use.",https://example.com/images/footwear/700048.jpg,https://example.com/products/700048
700049,Puma Smash v2,Fashion,Sneakers,Puma,2899,4799,40,4.8,21193,In Stock,ShopWise Fashion,6 Months,Black,10,Synthetic,Lace-Up,TPR,Travel,Unisex,"Memory Foam, Arch Support, Anti-Slip","Puma Smash v2 sneakers with memory foam, arch support, anti-slip. Ideal for gym use.",https://example.com/images/footwear/700049.jpg,https://example.com/products/700049
700050,Woodland Casual Shoe,Fashion,Sneakers,Woodland,7899,8299,5,4.4,10648,In Stock,ShopWise Fashion,6 Months,White,11,Mesh,Slip-On,Rubber,Casual,Unisex,"Anti-Slip, Memory Foam, Breathable","Woodland Casual Shoe sneakers with anti-slip, memory foam, breathable. Ideal for casual use.",https://example.com/images/footwear/700050.jpg,https://example.com/products/700050
700051,Puma Fuse 3.0,Fashion,Sneakers,Puma,6699,7499,11,4.2,23366,In Stock,ShopWise Fashion,6 Months,Grey,9,Synthetic,Velcro,Rubber,Outdoor,Unisex,"Lightweight, Water Resistant, Memory Foam","Puma Fuse 3.0 sneakers with lightweight, water resistant, memory foam. Ideal for casual use.",https://example.com/images/footwear/700051.jpg,https://example.com/products/700051
700052,Woodland Casual Shoe,Fashion,Sneakers,Woodland,9399,10399,10,4.7,13969,In Stock,ShopWise Fashion,6 Months,Navy,9,Canvas,Lace-Up,Rubber,Office,Unisex,"Lightweight, Cushioned Sole, Water Resistant","Woodland Casual Shoe sneakers with lightweight, cushioned sole, water resistant. Ideal for office use.",https://example.com/images/footwear/700052.jpg,https://example.com/products/700052
700053,Skechers Summits,Fashion,Sneakers,Skechers,8899,9299,4,4.4,10421,In Stock,ShopWise Fashion,6 Months,Black,7,Synthetic,Velcro,Rubber,Outdoor,Unisex,"Water Resistant, Memory Foam, Lightweight","Skechers Summits sneakers with water resistant, memory foam, lightweight. Ideal for travel use.",https://example.com/images/footwear/700053.jpg,https://example.com/products/700053
700054,Skechers Arch Fit,Fashion,Sneakers,Skechers,4599,5999,23,4.4,20423,In Stock,ShopWise Fashion,6 Months,Black,8,Mesh,Velcro,TPR,Outdoor,Unisex,"Anti-Slip, Water Resistant, Memory Foam","Skechers Arch Fit sneakers with anti-slip, water resistant, memory foam. Ideal for outdoor use.",https://example.com/images/footwear/700054.jpg,https://example.com/products/700054
700055,Adidas Superstar,Fashion,Sneakers,Adidas,9599,9899,3,4.2,1841,In Stock,ShopWise Fashion,6 Months,Brown,8,Mesh,Lace-Up,EVA,Casual,Unisex,"Cushioned Sole, Arch Support, Memory Foam","Adidas Superstar sneakers with cushioned sole, arch support, memory foam. Ideal for travel use.",https://example.com/images/footwear/700055.jpg,https://example.com/products/700055
700056,Bata Power Runner,Fashion,Running Shoes,Bata,10099,11399,11,4.2,13564,In Stock,ShopWise Fashion,6 Months,Navy,7,Knit,Lace-Up,TPR,Office,Unisex,"Arch Support, Memory Foam, Lightweight","Bata Power Runner running shoes with arch support, memory foam, lightweight. Ideal for gym use.",https://example.com/images/footwear/700056.jpg,https://example.com/products/700056
700057,Reebok Floatride,Fashion,Sneakers,Reebok,8599,9399,9,4.2,24817,In Stock,ShopWise Fashion,6 Months,Green,6,Knit,Lace-Up,EVA,Travel,Unisex,"Lightweight, Anti-Slip, Arch Support","Reebok Floatride sneakers with lightweight, anti-slip, arch support. Ideal for travel use.",https://example.com/images/footwear/700057.jpg,https://example.com/products/700057
700058,Bata Casual Sneaker,Fashion,Sneakers,Bata,9099,10899,17,4.5,16477,In Stock,ShopWise Fashion,6 Months,White,11,Synthetic,Lace-Up,TPR,Outdoor,Unisex,"Cushioned Sole, Arch Support, Anti-Slip","Bata Casual Sneaker sneakers with cushioned sole, arch support, anti-slip. Ideal for outdoor use.",https://example.com/images/footwear/700058.jpg,https://example.com/products/700058
700059,Puma Smash v2,Fashion,Sneakers,Puma,2799,3799,26,4.7,22022,In Stock,ShopWise Fashion,6 Months,Navy,7,Mesh,Slip-On,Rubber,Outdoor,Unisex,"Breathable, Lightweight, Cushioned Sole","Puma Smash v2 sneakers with breathable, lightweight, cushioned sole. Ideal for outdoor use.",https://example.com/images/footwear/700059.jpg,https://example.com/products/700059
700060,Adidas Superstar,Fashion,Sneakers,Adidas,5699,7099,20,5.0,2536,In Stock,ShopWise Fashion,6 Months,Blue,11,Knit,Velcro,EVA,Gym,Unisex,"Breathable, Anti-Slip, Memory Foam","Adidas Superstar sneakers with breathable, anti-slip, memory foam. Ideal for running use.",https://example.com/images/footwear/700060.jpg,https://example.com/products/700060
700061,Nike Court Vision,Fashion,Sneakers,Nike,5399,6499,17,4.7,19104,In Stock,ShopWise Fashion,6 Months,Blue,7,Knit,Lace-Up,TPR,Office,Unisex,"Lightweight, Cushioned Sole, Memory Foam","Nike Court Vision sneakers with lightweight, cushioned sole, memory foam. Ideal for office use.",https://example.com/images/footwear/700061.jpg,https://example.com/products/700061
700062,Crocs Bayaband,Fashion,Sneakers,Crocs,9099,9699,6,4.1,4998,In Stock,ShopWise Fashion,6 Months,Grey,7,Knit,Lace-Up,TPR,Casual,Unisex,"Lightweight, Arch Support, Memory Foam","Crocs Bayaband sneakers with lightweight, arch support, memory foam. Ideal for travel use.",https://example.com/images/footwear/700062.jpg,https://example.com/products/700062
700063,Nike Court Vision,Fashion,Sneakers,Nike,7799,9199,15,4.4,8359,In Stock,ShopWise Fashion,6 Months,Red,9,Leather,Lace-Up,Rubber,Travel,Unisex,"Lightweight, Breathable, Memory Foam","Nike Court Vision sneakers with lightweight, breathable, memory foam. Ideal for travel use.",https://example.com/images/footwear/700063.jpg,https://example.com/products/700063
700064,Nike Air Max,Fashion,Sneakers,Nike,9199,11399,19,4.2,24896,In Stock,ShopWise Fashion,6 Months,Blue,8,Mesh,Slip-On,Rubber,Outdoor,Unisex,"Memory Foam, Water Resistant, Cushioned Sole","Nike Air Max sneakers with memory foam, water resistant, cushioned sole. Ideal for outdoor use.",https://example.com/images/footwear/700064.jpg,https://example.com/products/700064
700065,Bata Formal Oxford,Fashion,Formal Shoes,Bata,6299,6899,9,4.3,3746,In Stock,ShopWise Fashion,6 Months,Blue,8,Canvas,Velcro,Rubber,Outdoor,Unisex,"Lightweight, Cushioned Sole, Anti-Slip","Bata Formal Oxford formal shoes with lightweight, cushioned sole, anti-slip. Ideal for casual use.",https://example.com/images/footwear/700065.jpg,https://example.com/products/700065
700066,Bata Power Runner,Fashion,Running Shoes,Bata,5899,6199,5,4.8,11946,In Stock,ShopWise Fashion,6 Months,Grey,9,Synthetic,Lace-Up,Rubber,Outdoor,Unisex,"Cushioned Sole, Water Resistant, Arch Support","Bata Power Runner running shoes with cushioned sole, water resistant, arch support. Ideal for outdoor use.",https://example.com/images/footwear/700066.jpg,https://example.com/products/700066
700067,Woodland Leather Boot,Fashion,Boots,Woodland,5499,5999,8,4.5,3765,In Stock,ShopWise Fashion,6 Months,Navy,10,Knit,Velcro,Rubber,Office,Unisex,"Water Resistant, Arch Support, Memory Foam","Woodland Leather Boot boots with water resistant, arch support, memory foam. Ideal for travel use.",https://example.com/images/footwear/700067.jpg,https://example.com/products/700067
700068,Crocs Bayaband,Fashion,Sneakers,Crocs,3399,4299,21,4.1,21359,In Stock,ShopWise Fashion,6 Months,Blue,6,Mesh,Slip-On,TPR,Travel,Unisex,"Lightweight, Anti-Slip, Water Resistant","Crocs Bayaband sneakers with lightweight, anti-slip, water resistant. Ideal for casual use.",https://example.com/images/footwear/700068.jpg,https://example.com/products/700068
700069,Adidas Duramo SL,Fashion,Sneakers,Adidas,5699,6299,10,4.6,12424,In Stock,ShopWise Fashion,6 Months,Brown,6,Canvas,Velcro,Rubber,Gym,Unisex,"Lightweight, Arch Support, Water Resistant","Adidas Duramo SL sneakers with lightweight, arch support, water resistant. Ideal for gym use.",https://example.com/images/footwear/700069.jpg,https://example.com/products/700069
700070,Puma Velocity Nitro,Fashion,Sneakers,Puma,7099,7699,8,4.4,10583,In Stock,ShopWise Fashion,6 Months,Green,7,Leather,Lace-Up,EVA,Outdoor,Unisex,"Lightweight, Arch Support, Anti-Slip","Puma Velocity Nitro sneakers with lightweight, arch support, anti-slip. Ideal for casual use.",https://example.com/images/footwear/700070.jpg,https://example.com/products/700070
700071,Nike Air Max,Fashion,Sneakers,Nike,8599,10399,17,4.5,20320,In Stock,ShopWise Fashion,6 Months,Red,10,Leather,Lace-Up,TPR,Office,Unisex,"Anti-Slip, Water Resistant, Memory Foam","Nike Air Max sneakers with anti-slip, water resistant, memory foam. Ideal for running use.",https://example.com/images/footwear/700071.jpg,https://example.com/products/700071
700072,Bata Formal Oxford,Fashion,Formal Shoes,Bata,4799,6099,21,4.7,10852,In Stock,ShopWise Fashion,6 Months,Blue,10,Knit,Velcro,TPR,Gym,Unisex,"Anti-Slip, Memory Foam, Cushioned Sole","Bata Formal Oxford formal shoes with anti-slip, memory foam, cushioned sole. Ideal for office use.",https://example.com/images/footwear/700072.jpg,https://example.com/products/700072
700073,Adidas Ultraboost Light,Fashion,Running Shoes,Adidas,7199,8199,12,4.8,2421,In Stock,ShopWise Fashion,6 Months,Blue,10,Canvas,Velcro,TPR,Running,Unisex,"Breathable, Lightweight, Arch Support","Adidas Ultraboost Light running shoes with breathable, lightweight, arch support. Ideal for outdoor use.",https://example.com/images/footwear/700073.jpg,https://example.com/products/700073
700074,Crocs LiteRide,Fashion,Sneakers,Crocs,6099,7399,18,4.4,7857,In Stock,ShopWise Fashion,6 Months,Blue,10,Canvas,Velcro,Rubber,Office,Unisex,"Breathable, Cushioned Sole, Water Resistant","Crocs LiteRide sneakers with breathable, cushioned sole, water resistant. Ideal for running use.",https://example.com/images/footwear/700074.jpg,https://example.com/products/700074
