product_id,product_name,category,sub_category,brand,price,original_price,discount_percentage,rating,review_count,stock_status,seller,warranty,color,size,fit,material,sleeve_type,neck_type,pattern,occasion,purpose,care_instructions,features,description,image_url,product_url,weight,model,case_size,display,battery_life,water_resistance,connectivity,health_features,sports_modes,energy_rating,capacity,power,bluetooth_version,noise_cancellation,skin_type,hair_type,ingredient,volume,spf,gender,closure_type,sole_material,processor,ram,storage,gpu,operating_system,battery,camera
500018,Nike Dri-FIT Tee,Fashion,T-Shirt,Nike,499,1599,69,4.4,2383,In Stock,ShopWise Fashion,No Warranty,Maroon,XL,Slim Fit,Dry-Fit Fabric,Half Sleeve,Round Neck,Printed,Gym,Travel,Machine Wash,"Dry-Fit Fabric, Slim Fit, Printed, Machine Wash",Nike Dri-FIT Tee for men made from Dry-Fit Fabric. Suitable for gym wear with a comfortable slim fit.,https://example.com/images/mens/500018.jpg,https://example.com/products/500018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500019,Puma Graphic Tee,Fashion,T-Shirt,Puma,2399,3299,27,4.8,5957,In Stock,ShopWise Fashion,No Warranty,Olive,L,Regular Fit,100% Cotton,Full Sleeve,Round Neck,Striped,Party,Office,Machine Wash,"100% Cotton, Regular Fit, Striped, Machine Wash",Puma Graphic Tee for men made from 100% Cotton. Suitable for party wear with a comfortable regular fit.,https://example.com/images/mens/500019.jpg,https://example.com/products/500019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500020,Levi's Classic Crew,Fashion,T-Shirt,Levi's,2399,3499,31,4.5,5583,In Stock,ShopWise Fashion,No Warranty,Grey,L,Oversized Fit,Polyester,Half Sleeve,Round Neck,Striped,Party,Office,Machine Wash,"Polyester, Oversized Fit, Striped, Machine Wash",Levi's Classic Crew for men made from Polyester. Suitable for party wear with a comfortable oversized fit.,https://example.com/images/mens/500020.jpg,https://example.com/products/500020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500021,Allen Solly Polo T-Shirt,Fashion,Shirt,Allen Solly,1399,2199,36,4.6,12674,In Stock,ShopWise Fashion,No Warranty,White,M,Regular Fit,Dry-Fit Fabric,Half Sleeve,Collar Neck,Solid,Gym,Daily Wear,Machine Wash,"Dry-Fit Fabric, Regular Fit, Solid, Machine Wash",Allen Solly Polo T-Shirt for men made from Dry-Fit Fabric. Suitable for gym wear with a comfortable regular fit.,https://example.com/images/mens/500021.jpg,https://example.com/products/500021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500022,Allen Solly Casual Shirt,Fashion,Shirt,Allen Solly,2599,3599,28,4.2,1461,In Stock,ShopWise Fashion,No Warranty,Grey,L,Slim Fit,Polyester,Half Sleeve,Collar Neck,Checked,Travel,Workout,Machine Wash,"Polyester, Slim Fit, Checked, Machine Wash",Allen Solly Casual Shirt for men made from Polyester. Suitable for travel wear with a comfortable slim fit.,https://example.com/images/mens/500022.jpg,https://example.com/products/500022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500023,H&M Basic Tee,Fashion,T-Shirt,H&M,1499,1799,17,4.9,1007,In Stock,ShopWise Fashion,No Warranty,Green,XL,Slim Fit,Linen,Half Sleeve,Round Neck,Striped,Office,Office,Machine Wash,"Linen, Slim Fit, Striped, Machine Wash",H&M Basic Tee for men made from Linen. Suitable for office wear with a comfortable slim fit.,https://example.com/images/mens/500023.jpg,https://example.com/products/500023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500024,H&M Basic Tee,Fashion,T-Shirt,H&M,499,899,44,4.5,2980,In Stock,ShopWise Fashion,No Warranty,Black,XL,Oversized Fit,Polyester,Full Sleeve,Round Neck,Striped,Casual,Daily Wear,Machine Wash,"Polyester, Oversized Fit, Striped, Machine Wash",H&M Basic Tee for men made from Polyester. Suitable for casual wear with a comfortable oversized fit.,https://example.com/images/mens/500024.jpg,https://example.com/products/500024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500025,Puma Graphic Tee,Fashion,T-Shirt,Puma,1199,1799,33,4.6,12617,In Stock,ShopWise Fashion,No Warranty,Maroon,L,Regular Fit,100% Cotton,Full Sleeve,Round Neck,Printed,Office,Workout,Machine Wash,"100% Cotton, Regular Fit, Printed, Machine Wash",Puma Graphic Tee for men made from 100% Cotton. Suitable for office wear with a comfortable regular fit.,https://example.com/images/mens/500025.jpg,https://example.com/products/500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500026,Adidas Own The Run Tee,Fashion,T-Shirt,Adidas,1899,2199,14,4.5,12928,In Stock,ShopWise Fashion,No Warranty,White,XL,Relaxed Fit,Polyester,Full Sleeve,Round Neck,Checked,Office,Office,Machine Wash,"Polyester, Relaxed Fit, Checked, Machine Wash",Adidas Own The Run Tee for men made from Polyester. Suitable for office wear with a comfortable relaxed fit.,https://example.com/images/mens/500026.jpg,https://example.com/products/500026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500027,Adidas Essentials Tee,Fashion,T-Shirt,Adidas,1599,2399,33,4.2,1842,In Stock,ShopWise Fashion,No Warranty,Blue,XL,Relaxed Fit,100% Cotton,Half Sleeve,Round Neck,Printed,Gym,College,Machine Wash,"100% Cotton, Relaxed Fit, Printed, Machine Wash",Adidas Essentials Tee for men made from 100% Cotton. Suitable for gym wear with a comfortable relaxed fit.,https://example.com/images/mens/500027.jpg,https://example.com/products/500027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500028,Allen Solly Polo T-Shirt,Fashion,Shirt,Allen Solly,1999,2799,29,4.6,9924,In Stock,ShopWise Fashion,No Warranty,Black,XXL,Oversized Fit,Cotton Blend,Full Sleeve,Collar Neck,Printed,Office,Workout,Machine Wash,"Cotton Blend, Oversized Fit, Printed, Machine Wash",Allen Solly Polo T-Shirt for men made from Cotton Blend. Suitable for office wear with a comfortable oversized fit.,https://example.com/images/mens/500028.jpg,https://example.com/products/500028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500029,US Polo Casual Shirt,Fashion,Shirt,US Polo,2899,3999,28,4.6,1628,In Stock,ShopWise Fashion,No Warranty,Maroon,XXL,Slim Fit,Polyester,Half Sleeve,Collar Neck,Printed,Gym,Workout,Machine Wash,"Polyester, Slim Fit, Printed, Machine Wash",US Polo Casual Shirt for men made from Polyester. Suitable for gym wear with a comfortable slim fit.,https://example.com/images/mens/500029.jpg,https://example.com/products/500029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500030,Levi's Slim Fit Shirt,Fashion,Shirt,Levi's,1299,1899,32,4.9,13435,In Stock,ShopWise Fashion,No Warranty,Navy,XXL,Slim Fit,Polyester,Full Sleeve,Collar Neck,Printed,Gym,Travel,Machine Wash,"Polyester, Slim Fit, Printed, Machine Wash",Levi's Slim Fit Shirt for men made from Polyester. Suitable for gym wear with a comfortable slim fit.,https://example.com/images/mens/500030.jpg,https://example.com/products/500030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500031,Nike Dri-FIT Tee,Fashion,T-Shirt,Nike,1399,1899,26,4.1,13766,In Stock,ShopWise Fashion,No Warranty,Maroon,S,Regular Fit,Dry-Fit Fabric,Half Sleeve,Round Neck,Checked,Party,Daily Wear,Machine Wash,"Dry-Fit Fabric, Regular Fit, Checked, Machine Wash",Nike Dri-FIT Tee for men made from Dry-Fit Fabric. Suitable for party wear with a comfortable regular fit.,https://example.com/images/mens/500031.jpg,https://example.com/products/500031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500032,Zara Linen Shirt,Fashion,Shirt,Zara,1099,2199,50,4.9,1486,In Stock,ShopWise Fashion,No Warranty,Olive,S,Regular Fit,Dry-Fit Fabric,Full Sleeve,Collar Neck,Checked,Party,Workout,Machine Wash,"Dry-Fit Fabric, Regular Fit, Checked, Machine Wash",Zara Linen Shirt for men made from Dry-Fit Fabric. Suitable for party wear with a comfortable regular fit.,https://example.com/images/mens/500032.jpg,https://example.com/products/500032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500033,US Polo Solid Polo,Fashion,Polo T-Shirt,US Polo,1399,2399,42,4.5,10912,In Stock,ShopWise Fashion,No Warranty,Maroon,XL,Oversized Fit,Dry-Fit Fabric,Full Sleeve,Round Neck,Printed,Party,Travel,Machine Wash,"Dry-Fit Fabric, Oversized Fit, Printed, Machine Wash",US Polo Solid Polo for men made from Dry-Fit Fabric. Suitable for party wear with a comfortable oversized fit.,https://example.com/images/mens/500033.jpg,https://example.com/products/500033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500034,Puma Graphic Tee,Fashion,T-Shirt,Puma,1499,2499,40,4.4,5120,In Stock,ShopWise Fashion,No Warranty,Navy,XXL,Slim Fit,100% Cotton,Full Sleeve,Round Neck,Striped,Gym,Office,Machine Wash,"100% Cotton, Slim Fit, Striped, Machine Wash",Puma Graphic Tee for men made from 100% Cotton. Suitable for gym wear with a comfortable slim fit.,https://example.com/images/mens/500034.jpg,https://example.com/products/500034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500035,US Polo Printed Shirt,Fashion,Shirt,US Polo,2199,2399,8,4.9,13247,In Stock,ShopWise Fashion,No Warranty,Green,XXL,Slim Fit,Linen,Half Sleeve,Collar Neck,Solid,Gym,Office,Machine Wash,"Linen, Slim Fit, Solid, Machine Wash",US Polo Printed Shirt for men made from Linen. Suitable for gym wear with a comfortable slim fit.,https://example.com/images/mens/500035.jpg,https://example.com/products/500035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500036,Zara Regular Tee,Fashion,T-Shirt,Zara,1799,2499,28,4.3,9627,In Stock,ShopWise Fashion,No Warranty,Grey,S,Slim Fit,100% Cotton,Half Sleeve,Round Neck,Checked,Office,Travel,Machine Wash,"100% Cotton, Slim Fit, Checked, Machine Wash",Zara Regular Tee for men made from 100% Cotton. Suitable for office wear with a comfortable slim fit.,https://example.com/images/mens/500036.jpg,https://example.com/products/500036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500037,Allen Solly Casual Shirt,Fashion,Shirt,Allen Solly,1599,2499,36,4.2,4208,In Stock,ShopWise Fashion,No Warranty,Grey,XL,Regular Fit,Dry-Fit Fabric,Full Sleeve,Collar Neck,Printed,Office,Daily Wear,Machine Wash,"Dry-Fit Fabric, Regular Fit, Printed, Machine Wash",Allen Solly Casual Shirt for men made from Dry-Fit Fabric. Suitable for office wear with a comfortable regular fit.,https://example.com/images/mens/500037.jpg,https://example.com/products/500037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500038,Van Heusen Formal Shirt,Fashion,Shirt,Van Heusen,2399,2799,14,5.0,9447,In Stock,ShopWise Fashion,No Warranty,Navy,XL,Oversized Fit,100% Cotton,Half Sleeve,Collar Neck,Printed,Office,College,Machine Wash,"100% Cotton, Oversized Fit, Printed, Machine Wash",Van Heusen Formal Shirt for men made from 100% Cotton. Suitable for office wear with a comfortable oversized fit.,https://example.com/images/mens/500038.jpg,https://example.com/products/500038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500039,Levi's Logo Tee,Fashion,T-Shirt,Levi's,2099,3199,34,4.2,7565,In Stock,ShopWise Fashion,No Warranty,Black,M,Slim Fit,100% Cotton,Half Sleeve,Round Neck,Checked,Casual,Office,Machine Wash,"100% Cotton, Slim Fit, Checked, Machine Wash",Levi's Logo Tee for men made from 100% Cotton. Suitable for casual wear with a comfortable slim fit.,https://example.com/images/mens/500039.jpg,https://example.com/products/500039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500040,Peter England Casual Polo,Fashion,Polo T-Shirt,Peter England,1199,1499,20,4.4,9737,In Stock,ShopWise Fashion,No Warranty,White,XXL,Oversized Fit,Linen,Full Sleeve,Round Neck,Checked,Office,College,Machine Wash,"Linen, Oversized Fit, Checked, Machine Wash",Peter England Casual Polo for men made from Linen. Suitable for office wear with a comfortable oversized fit.,https://example.com/images/mens/500040.jpg,https://example.com/products/500040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500041,Nike Sports Polo,Fashion,Polo T-Shirt,Nike,1399,1899,26,4.7,3323,In Stock,ShopWise Fashion,No Warranty,Green,L,Oversized Fit,Linen,Half Sleeve,Round Neck,Solid,Casual,Travel,Machine Wash,"Linen, Oversized Fit, Solid, Machine Wash",Nike Sports Polo for men made from Linen. Suitable for casual wear with a comfortable oversized fit.,https://example.com/images/mens/500041.jpg,https://example.com/products/500041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500042,Zara Premium Shirt,Fashion,Shirt,Zara,2999,3999,25,4.9,9569,In Stock,ShopWise Fashion,No Warranty,Black,L,Oversized Fit,Linen,Half Sleeve,Collar Neck,Printed,Travel,Daily Wear,Machine Wash,"Linen, Oversized Fit, Printed, Machine Wash",Zara Premium Shirt for men made from Linen. Suitable for travel wear with a comfortable oversized fit.,https://example.com/images/mens/500042.jpg,https://example.com/products/500042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500043,Nike Sports Polo,Fashion,Polo T-Shirt,Nike,799,1099,27,4.3,14719,In Stock,ShopWise Fashion,No Warranty,Green,S,Relaxed Fit,Polyester,Half Sleeve,Round Neck,Striped,Travel,College,Machine Wash,"Polyester, Relaxed Fit, Striped, Machine Wash",Nike Sports Polo for men made from Polyester. Suitable for travel wear with a comfortable relaxed fit.,https://example.com/images/mens/500043.jpg,https://example.com/products/500043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500044,Adidas Performance Tee,Fashion,T-Shirt,Adidas,1899,2699,30,4.8,5794,In Stock,ShopWise Fashion,No Warranty,Beige,S,Regular Fit,Polyester,Half Sleeve,Round Neck,Checked,Travel,College,Machine Wash,"Polyester, Regular Fit, Checked, Machine Wash",Adidas Performance Tee for men made from Polyester. Suitable for travel wear with a comfortable regular fit.,https://example.com/images/mens/500044.jpg,https://example.com/products/500044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500045,Peter England Casual Polo,Fashion,Polo T-Shirt,Peter England,1799,1999,10,4.8,12198,In Stock,ShopWise Fashion,No Warranty,Olive,S,Relaxed Fit,Cotton Blend,Full Sleeve,Round Neck,Checked,Gym,Daily Wear,Machine Wash,"Cotton Blend, Relaxed Fit, Checked, Machine Wash",Peter England Casual Polo for men made from Cotton Blend. Suitable for gym wear with a comfortable relaxed fit.,https://example.com/images/mens/500045.jpg,https://example.com/products/500045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500046,Allen Solly Polo T-Shirt,Fashion,Shirt,Allen Solly,3099,3799,18,4.3,1273,In Stock,ShopWise Fashion,No Warranty,Black,XXL,Slim Fit,Dry-Fit Fabric,Full Sleeve,Collar Neck,Solid,Party,Daily Wear,Machine Wash,"Dry-Fit Fabric, Slim Fit, Solid, Machine Wash",Allen Solly Polo T-Shirt for men made from Dry-Fit Fabric. Suitable for party wear with a comfortable slim fit.,https://example.com/images/mens/500046.jpg,https://example.com/products/500046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500047,Van Heusen Slim Fit Shirt,Fashion,Shirt,Van Heusen,1599,2699,41,4.5,9767,In Stock,ShopWise Fashion,No Warranty,Olive,M,Regular Fit,100% Cotton,Full Sleeve,Collar Neck,Striped,Travel,Office,Machine Wash,"100% Cotton, Regular Fit, Striped, Machine Wash",Van Heusen Slim Fit Shirt for men made from 100% Cotton. Suitable for travel wear with a comfortable regular fit.,https://example.com/images/mens/500047.jpg,https://example.com/products/500047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500048,US Polo Casual Shirt,Fashion,Shirt,US Polo,2099,2699,22,4.8,14226,In Stock,ShopWise Fashion,No Warranty,Black,S,Slim Fit,Cotton Blend,Half Sleeve,Collar Neck,Printed,Casual,College,Machine Wash,"Cotton Blend, Slim Fit, Printed, Machine Wash",US Polo Casual Shirt for men made from Cotton Blend. Suitable for casual wear with a comfortable slim fit.,https://example.com/images/mens/500048.jpg,https://example.com/products/500048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500049,H&M Oversized Tee,Fashion,T-Shirt,H&M,699,999,30,4.9,444,In Stock,ShopWise Fashion,No Warranty,Green,S,Relaxed Fit,Cotton Blend,Full Sleeve,Round Neck,Printed,Travel,Travel,Machine Wash,"Cotton Blend, Relaxed Fit, Printed, Machine Wash",H&M Oversized Tee for men made from Cotton Blend. Suitable for travel wear with a comfortable relaxed fit.,https://example.com/images/mens/500049.jpg,https://example.com/products/500049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500050,Allen Solly Casual Shirt,Fashion,Shirt,Allen Solly,3799,3999,5,4.7,5917,In Stock,ShopWise Fashion,No Warranty,Green,L,Relaxed Fit,100% Cotton,Full Sleeve,Collar Neck,Striped,Office,College,Machine Wash,"100% Cotton, Relaxed Fit, Striped, Machine Wash",Allen Solly Casual Shirt for men made from 100% Cotton. Suitable for office wear with a comfortable relaxed fit.,https://example.com/images/mens/500050.jpg,https://example.com/products/500050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500051,H&M Cotton Shirt,Fashion,Shirt,H&M,1499,2199,32,4.1,12688,In Stock,ShopWise Fashion,No Warranty,Beige,M,Slim Fit,Linen,Full Sleeve,Collar Neck,Solid,Travel,Daily Wear,Machine Wash,"Linen, Slim Fit, Solid, Machine Wash",H&M Cotton Shirt for men made from Linen. Suitable for travel wear with a comfortable slim fit.,https://example.com/images/mens/500051.jpg,https://example.com/products/500051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500052,Puma Active Polo,Fashion,Polo T-Shirt,Puma,1599,2399,33,4.3,2370,In Stock,ShopWise Fashion,No Warranty,White,XL,Oversized Fit,Cotton Blend,Half Sleeve,Round Neck,Solid,Casual,Workout,Machine Wash,"Cotton Blend, Oversized Fit, Solid, Machine Wash",Puma Active Polo for men made from Cotton Blend. Suitable for casual wear with a comfortable oversized fit.,https://example.com/images/mens/500052.jpg,https://example.com/products/500052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500053,Adidas Essentials Tee,Fashion,T-Shirt,Adidas,1099,1699,35,4.4,4561,In Stock,ShopWise Fashion,No Warranty,Green,XXL,Regular Fit,Linen,Full Sleeve,Round Neck,Checked,Office,Travel,Machine Wash,"Linen, Regular Fit, Checked, Machine Wash",Adidas Essentials Tee for men made from Linen. Suitable for office wear with a comfortable regular fit.,https://example.com/images/mens/500053.jpg,https://example.com/products/500053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500054,Allen Solly Formal Shirt,Fashion,Shirt,Allen Solly,1499,2599,42,4.2,14434,In Stock,ShopWise Fashion,No Warranty,Beige,L,Oversized Fit,100% Cotton,Half Sleeve,Collar Neck,Solid,Casual,Office,Machine Wash,"100% Cotton, Oversized Fit, Solid, Machine Wash",Allen Solly Formal Shirt for men made from 100% Cotton. Suitable for casual wear with a comfortable oversized fit.,https://example.com/images/mens/500054.jpg,https://example.com/products/500054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
