product_id,product_name,category,sub_category,brand,model,price,original_price,discount_percentage,rating,review_count,stock_status,seller,warranty,color,case_size,display,battery_life,water_resistance,connectivity,health_features,sports_modes,features,description,purpose,image_url,product_url
400026,Noise ColorFit Ultra 3,Electronics,Smartwatch,Noise,ColorFit Ultra 3,4099,8399,51,4.1,7321,In Stock,ShopWise Store,1 Year,Green,41 mm,AMOLED,18 Hours,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",100+,"GPS, 5ATM Water Resistance, Heart Rate Monitor, Always-On Display","Noise ColorFit Ultra 3 smartwatch featuring GPS, 5ATM Water Resistance, Heart Rate Monitor, Always-On Display. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400026.jpg,https://example.com/products/400026
400027,Amazfit GTR Mini,Electronics,Smartwatch,Amazfit,GTR Mini,17199,21499,20,4.4,12880,In Stock,ShopWise Store,1 Year,Black,46 mm,AMOLED,18 Hours,IP68,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"5ATM Water Resistance, 100+ Sports Modes, AMOLED Display, Women's Health Tracking","Amazfit GTR Mini smartwatch featuring 5ATM Water Resistance, 100+ Sports Modes, AMOLED Display, Women's Health Tracking. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400027.jpg,https://example.com/products/400027
400028,Garmin Fenix 8,Electronics,Smartwatch,Garmin,Fenix 8,79499,82899,4,4.1,8130,In Stock,ShopWise Store,1 Year,Green,44 mm,AMOLED,18 Hours,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",100+,"Always-On Display, Heart Rate Monitor, Voice Assistant, Women's Health Tracking","Garmin Fenix 8 smartwatch featuring Always-On Display, Heart Rate Monitor, Voice Assistant, Women's Health Tracking. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400028.jpg,https://example.com/products/400028
400029,boAt Xtend Pro,Electronics,Smartwatch,boAt,Xtend Pro,5799,8199,29,4.5,3131,In Stock,ShopWise Store,1 Year,Pink,46 mm,AMOLED,5 Days,10ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",100+,"Sleep Tracking, 100+ Sports Modes, Always-On Display, 5ATM Water Resistance","boAt Xtend Pro smartwatch featuring Sleep Tracking, 100+ Sports Modes, Always-On Display, 5ATM Water Resistance. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400029.jpg,https://example.com/products/400029
400030,Amazfit Balance,Electronics,Smartwatch,Amazfit,Balance,16999,17799,4,4.6,7934,In Stock,ShopWise Store,1 Year,Pink,44 mm,AMOLED,5 Days,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"Women's Health Tracking, Always-On Display, 100+ Sports Modes, Heart Rate Monitor","Amazfit Balance smartwatch featuring Women's Health Tracking, Always-On Display, 100+ Sports Modes, Heart Rate Monitor. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400030.jpg,https://example.com/products/400030
400031,Apple Watch SE,Electronics,Smartwatch,Apple,Watch SE,28700,33200,14,4.6,22016,In Stock,ShopWise Store,1 Year,Gold,46 mm,AMOLED,7 Days,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"Bluetooth Calling, Always-On Display, 100+ Sports Modes, Sleep Tracking","Apple Watch SE smartwatch featuring Bluetooth Calling, Always-On Display, 100+ Sports Modes, Sleep Tracking. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400031.jpg,https://example.com/products/400031
400032,Noise ColorFit Pro 5,Electronics,Smartwatch,Noise,ColorFit Pro 5,5299,8299,36,4.1,4650,In Stock,ShopWise Store,1 Year,Blue,49 mm,AMOLED,5 Days,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",150+,"AMOLED Display, Sleep Tracking, Bluetooth Calling, Voice Assistant","Noise ColorFit Pro 5 smartwatch featuring AMOLED Display, Sleep Tracking, Bluetooth Calling, Voice Assistant. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400032.jpg,https://example.com/products/400032
400033,boAt Xtend Pro,Electronics,Smartwatch,boAt,Xtend Pro,2499,3499,29,4.3,22827,In Stock,ShopWise Store,1 Year,Silver,41 mm,AMOLED,14 Days,IP68,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",100+,"Heart Rate Monitor, Bluetooth Calling, Women's Health Tracking, GPS","boAt Xtend Pro smartwatch featuring Heart Rate Monitor, Bluetooth Calling, Women's Health Tracking, GPS. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400033.jpg,https://example.com/products/400033
400034,Garmin Fenix 8,Electronics,Smartwatch,Garmin,Fenix 8,63499,65299,3,4.8,24472,In Stock,ShopWise Store,1 Year,Green,44 mm,AMOLED,14 Days,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",100+,"Stress Monitoring, Women's Health Tracking, 100+ Sports Modes, Voice Assistant","Garmin Fenix 8 smartwatch featuring Stress Monitoring, Women's Health Tracking, 100+ Sports Modes, Voice Assistant. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400034.jpg,https://example.com/products/400034
400035,Garmin Forerunner 165,Electronics,Smartwatch,Garmin,Forerunner 165,91299,93599,2,4.0,22051,In Stock,ShopWise Store,1 Year,Pink,49 mm,LCD,10 Days,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"GPS, SpO2 Monitoring, Stress Monitoring, Always-On Display","Garmin Forerunner 165 smartwatch featuring GPS, SpO2 Monitoring, Stress Monitoring, Always-On Display. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400035.jpg,https://example.com/products/400035
400036,Apple Watch SE,Electronics,Smartwatch,Apple,Watch SE,29900,31100,4,4.5,9794,In Stock,ShopWise Store,1 Year,Blue,42 mm,LCD,10 Days,10ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"Heart Rate Monitor, Bluetooth Calling, Always-On Display, Sleep Tracking","Apple Watch SE smartwatch featuring Heart Rate Monitor, Bluetooth Calling, Always-On Display, Sleep Tracking. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400036.jpg,https://example.com/products/400036
400037,Apple Watch Series 10,Electronics,Smartwatch,Apple,Watch Series 10,62100,65600,5,4.5,21021,In Stock,ShopWise Store,1 Year,Gold,44 mm,AMOLED,14 Days,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",100+,"Heart Rate Monitor, Sleep Tracking, Bluetooth Calling, SpO2 Monitoring","Apple Watch Series 10 smartwatch featuring Heart Rate Monitor, Sleep Tracking, Bluetooth Calling, SpO2 Monitoring. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400037.jpg,https://example.com/products/400037
400038,Fire-Boltt Visionary,Electronics,Smartwatch,Fire-Boltt,Visionary,3199,4499,29,4.9,24395,In Stock,ShopWise Store,1 Year,Pink,41 mm,AMOLED,5 Days,10ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"100+ Sports Modes, Bluetooth Calling, Always-On Display, Sleep Tracking","Fire-Boltt Visionary smartwatch featuring 100+ Sports Modes, Bluetooth Calling, Always-On Display, Sleep Tracking. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400038.jpg,https://example.com/products/400038
400039,boAt Wave Sigma,Electronics,Smartwatch,boAt,Wave Sigma,6399,10999,42,4.3,9197,In Stock,ShopWise Store,1 Year,Gold,41 mm,AMOLED,10 Days,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",100+,"Stress Monitoring, Voice Assistant, Always-On Display, 5ATM Water Resistance","boAt Wave Sigma smartwatch featuring Stress Monitoring, Voice Assistant, Always-On Display, 5ATM Water Resistance. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400039.jpg,https://example.com/products/400039
400040,Amazfit Balance,Electronics,Smartwatch,Amazfit,Balance,12899,15499,17,4.8,15804,In Stock,ShopWise Store,1 Year,Green,41 mm,AMOLED,14 Days,10ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",100+,"Always-On Display, 5ATM Water Resistance, Stress Monitoring, Voice Assistant","Amazfit Balance smartwatch featuring Always-On Display, 5ATM Water Resistance, Stress Monitoring, Voice Assistant. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400040.jpg,https://example.com/products/400040
400041,Amazfit GTR Mini,Electronics,Smartwatch,Amazfit,GTR Mini,21399,25499,16,4.2,5881,In Stock,ShopWise Store,1 Year,Pink,44 mm,AMOLED,7 Days,IP68,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",100+,"Women's Health Tracking, Bluetooth Calling, SpO2 Monitoring, Voice Assistant","Amazfit GTR Mini smartwatch featuring Women's Health Tracking, Bluetooth Calling, SpO2 Monitoring, Voice Assistant. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400041.jpg,https://example.com/products/400041
400042,Fire-Boltt Visionary,Electronics,Smartwatch,Fire-Boltt,Visionary,6499,8999,28,4.5,15404,In Stock,ShopWise Store,1 Year,Silver,41 mm,AMOLED,18 Hours,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",100+,"5ATM Water Resistance, Sleep Tracking, Heart Rate Monitor, GPS","Fire-Boltt Visionary smartwatch featuring 5ATM Water Resistance, Sleep Tracking, Heart Rate Monitor, GPS. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400042.jpg,https://example.com/products/400042
400043,Garmin Fenix 8,Electronics,Smartwatch,Garmin,Fenix 8,32499,34799,7,4.8,17399,In Stock,ShopWise Store,1 Year,Pink,41 mm,AMOLED,18 Hours,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",150+,"5ATM Water Resistance, Stress Monitoring, SpO2 Monitoring, Heart Rate Monitor","Garmin Fenix 8 smartwatch featuring 5ATM Water Resistance, Stress Monitoring, SpO2 Monitoring, Heart Rate Monitor. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400043.jpg,https://example.com/products/400043
400044,Noise ColorFit Pro 5,Electronics,Smartwatch,Noise,ColorFit Pro 5,5399,7499,28,4.7,3015,In Stock,ShopWise Store,1 Year,Silver,44 mm,AMOLED,10 Days,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"Stress Monitoring, AMOLED Display, SpO2 Monitoring, Always-On Display","Noise ColorFit Pro 5 smartwatch featuring Stress Monitoring, AMOLED Display, SpO2 Monitoring, Always-On Display. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400044.jpg,https://example.com/products/400044
400045,Garmin Fenix 8,Electronics,Smartwatch,Garmin,Fenix 8,28599,32899,13,4.9,2465,In Stock,ShopWise Store,1 Year,Green,49 mm,AMOLED,14 Days,IP68,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"GPS, Bluetooth Calling, Always-On Display, AMOLED Display","Garmin Fenix 8 smartwatch featuring GPS, Bluetooth Calling, Always-On Display, AMOLED Display. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400045.jpg,https://example.com/products/400045
400046,Fire-Boltt Visionary,Electronics,Smartwatch,Fire-Boltt,Visionary,2599,3899,33,4.6,2904,In Stock,ShopWise Store,1 Year,Black,44 mm,AMOLED,14 Days,10ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"5ATM Water Resistance, Voice Assistant, Always-On Display, Stress Monitoring","Fire-Boltt Visionary smartwatch featuring 5ATM Water Resistance, Voice Assistant, Always-On Display, Stress Monitoring. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400046.jpg,https://example.com/products/400046
