product_id,product_name,category,sub_category,brand,price,original_price,discount_percentage,rating,review_count,stock_status,seller,warranty,color,size,fit,material,sleeve_type,neck_type,pattern,occasion,purpose,care_instructions,features,description,image_url,product_url
600027,Biba Anarkali Kurta,Fashion,Kurta,Biba,2399,2599,8,4.1,3827,In Stock,ShopWise Fashion,No Warranty,Blue,S,Straight Fit,100% Cotton,Sleeveless,V Neck,Checked,Casual,Vacation,Machine Wash,"100% Cotton, Straight Fit, Checked, Machine Wash",Biba Anarkali Kurta made from 100% Cotton. Ideal for casual occasions with a comfortable straight fit.,https://example.com/images/women/600027.jpg,https://example.com/products/600027
600028,AND Formal Top,Fashion,Top,AND,1899,3199,41,4.6,3891,In Stock,ShopWise Fashion,No Warranty,Maroon,XXL,Slim Fit,Viscose,Full Sleeve,Collar,Solid,Wedding,Office,Machine Wash,"Viscose, Slim Fit, Solid, Machine Wash",AND Formal Top made from Viscose. Ideal for wedding occasions with a comfortable slim fit.,https://example.com/images/women/600028.jpg,https://example.com/products/600028
600029,Zara Casual Top,Fashion,Top,Zara,1599,1799,11,4.4,17316,In Stock,ShopWise Fashion,No Warranty,Blue,S,Slim Fit,Polyester,Sleeveless,V Neck,Checked,Party,College,Machine Wash,"Polyester, Slim Fit, Checked, Machine Wash",Zara Casual Top made from Polyester. Ideal for party occasions with a comfortable slim fit.,https://example.com/images/women/600029.jpg,https://example.com/products/600029
600030,H&M Oversized Shirt,Fashion,Top,H&M,2199,2399,8,4.1,8901,In Stock,ShopWise Fashion,No Warranty,White,XL,Regular Fit,100% Cotton,Sleeveless,V Neck,Solid,Festive,Daily Wear,Machine Wash,"100% Cotton, Regular Fit, Solid, Machine Wash",H&M Oversized Shirt made from 100% Cotton. Ideal for festive occasions with a comfortable regular fit.,https://example.com/images/women/600030.jpg,https://example.com/products/600030
600031,Levi's Denim Jacket,Fashion,Jacket,Levi's,2599,3399,24,4.0,11632,In Stock,ShopWise Fashion,No Warranty,Pink,L,Regular Fit,Polyester,Full Sleeve,Collar,Solid,Festive,Vacation,Machine Wash,"Polyester, Regular Fit, Solid, Machine Wash",Levi's Denim Jacket made from Polyester. Ideal for festive occasions with a comfortable regular fit.,https://example.com/images/women/600031.jpg,https://example.com/products/600031
600032,FabIndia Cotton Kurta,Fashion,Kurta,FabIndia,3299,3999,18,4.5,6723,In Stock,ShopWise Fashion,No Warranty,Blue,S,Regular Fit,Cotton Blend,Half Sleeve,V Neck,Floral,Casual,Daily Wear,Machine Wash,"Cotton Blend, Regular Fit, Floral, Machine Wash",FabIndia Cotton Kurta made from Cotton Blend. Ideal for casual occasions with a comfortable regular fit.,https://example.com/images/women/600032.jpg,https://example.com/products/600032
600033,FabIndia Cotton Kurta,Fashion,Kurta,FabIndia,3199,4499,29,4.8,7991,In Stock,ShopWise Fashion,No Warranty,Maroon,XS,Slim Fit,Viscose,Half Sleeve,Square Neck,Checked,Festive,Daily Wear,Machine Wash,"Viscose, Slim Fit, Checked, Machine Wash",FabIndia Cotton Kurta made from Viscose. Ideal for festive occasions with a comfortable slim fit.,https://example.com/images/women/600033.jpg,https://example.com/products/600033
600034,W Straight Kurta,Fashion,Kurta,W,2099,2299,9,4.4,3278,In Stock,ShopWise Fashion,No Warranty,Red,XXL,A-Line,Cotton Blend,Sleeveless,Round Neck,Floral,Office,Daily Wear,Machine Wash,"Cotton Blend, A-Line, Floral, Machine Wash",W Straight Kurta made from Cotton Blend. Ideal for office occasions with a comfortable a-line.,https://example.com/images/women/600034.jpg,https://example.com/products/600034
600035,ONLY Midi Dress,Fashion,Dress,ONLY,1399,2599,46,4.7,11236,In Stock,ShopWise Fashion,No Warranty,Maroon,M,Slim Fit,Viscose,Half Sleeve,V Neck,Floral,Casual,Vacation,Machine Wash,"Viscose, Slim Fit, Floral, Machine Wash",ONLY Midi Dress made from Viscose. Ideal for casual occasions with a comfortable slim fit.,https://example.com/images/women/600035.jpg,https://example.com/products/600035
600036,Biba Anarkali Kurta,Fashion,Kurta,Biba,1899,2999,37,4.4,7610,In Stock,ShopWise Fashion,No Warranty,Blue,XS,Relaxed Fit,Cotton Blend,Full Sleeve,Square Neck,Floral,Office,Daily Wear,Machine Wash,"Cotton Blend, Relaxed Fit, Floral, Machine Wash",Biba Anarkali Kurta made from Cotton Blend. Ideal for office occasions with a comfortable relaxed fit.,https://example.com/images/women/600036.jpg,https://example.com/products/600036
600037,ONLY Casual Top,Fashion,Top,ONLY,1799,2499,28,4.7,6212,In Stock,ShopWise Fashion,No Warranty,Green,M,Slim Fit,Viscose,Sleeveless,Square Neck,Checked,Wedding,College,Machine Wash,"Viscose, Slim Fit, Checked, Machine Wash",ONLY Casual Top made from Viscose. Ideal for wedding occasions with a comfortable slim fit.,https://example.com/images/women/600037.jpg,https://example.com/products/600037
600038,Zara Linen Shirt,Fashion,Top,Zara,2399,3799,37,4.9,3806,In Stock,ShopWise Fashion,No Warranty,Red,L,A-Line,Rayon,Half Sleeve,Square Neck,Floral,Travel,College,Machine Wash,"Rayon, A-Line, Floral, Machine Wash",Zara Linen Shirt made from Rayon. Ideal for travel occasions with a comfortable a-line.,https://example.com/images/women/600038.jpg,https://example.com/products/600038
600039,AND Trousers,Fashion,Bottom Wear,AND,2599,3199,19,4.6,11427,In Stock,ShopWise Fashion,No Warranty,White,XS,Regular Fit,Linen,Three-Quarter,Square Neck,Checked,Casual,Office,Machine Wash,"Linen, Regular Fit, Checked, Machine Wash",AND Trousers made from Linen. Ideal for casual occasions with a comfortable regular fit.,https://example.com/images/women/600039.jpg,https://example.com/products/600039
600040,H&M Basic Top,Fashion,Top,H&M,1899,2299,17,4.9,10578,In Stock,ShopWise Fashion,No Warranty,Pink,XXL,Regular Fit,Cotton Blend,Three-Quarter,V Neck,Solid,Festive,Daily Wear,Machine Wash,"Cotton Blend, Regular Fit, Solid, Machine Wash",H&M Basic Top made from Cotton Blend. Ideal for festive occasions with a comfortable regular fit.,https://example.com/images/women/600040.jpg,https://example.com/products/600040
600041,ONLY Midi Dress,Fashion,Dress,ONLY,4499,5799,22,4.7,1872,In Stock,ShopWise Fashion,No Warranty,Green,M,Straight Fit,Viscose,Sleeveless,Round Neck,Checked,Casual,Daily Wear,Machine Wash,"Viscose, Straight Fit, Checked, Machine Wash",ONLY Midi Dress made from Viscose. Ideal for casual occasions with a comfortable straight fit.,https://example.com/images/women/600041.jpg,https://example.com/products/600041
600042,AND Office Dress,Fashion,Dress,AND,2599,3799,32,4.5,5653,In Stock,ShopWise Fashion,No Warranty,Pink,M,A-Line,100% Cotton,Sleeveless,Round Neck,Printed,Travel,Party,Machine Wash,"100% Cotton, A-Line, Printed, Machine Wash",AND Office Dress made from 100% Cotton. Ideal for travel occasions with a comfortable a-line.,https://example.com/images/women/600042.jpg,https://example.com/products/600042
600043,Levi's Women's Jeans,Fashion,Bottom Wear,Levi's,2099,2799,25,4.5,2096,In Stock,ShopWise Fashion,No Warranty,Red,XS,A-Line,Viscose,Half Sleeve,Round Neck,Solid,Party,Daily Wear,Machine Wash,"Viscose, A-Line, Solid, Machine Wash",Levi's Women's Jeans made from Viscose. Ideal for party occasions with a comfortable a-line.,https://example.com/images/women/600043.jpg,https://example.com/products/600043
600044,FabIndia Cotton Kurta,Fashion,Kurta,FabIndia,3899,5199,25,4.3,15316,In Stock,ShopWise Fashion,No Warranty,Blue,S,A-Line,100% Cotton,Three-Quarter,Square Neck,Floral,Travel,Daily Wear,Machine Wash,"100% Cotton, A-Line, Floral, Machine Wash",FabIndia Cotton Kurta made from 100% Cotton. Ideal for travel occasions with a comfortable a-line.,https://example.com/images/women/600044.jpg,https://example.com/products/600044
600045,Levi's Denim Jacket,Fashion,Jacket,Levi's,3499,3899,10,4.6,5984,In Stock,ShopWise Fashion,No Warranty,Maroon,XL,A-Line,Rayon,Full Sleeve,Round Neck,Solid,Casual,Party,Machine Wash,"Rayon, A-Line, Solid, Machine Wash",Levi's Denim Jacket made from Rayon. Ideal for casual occasions with a comfortable a-line.,https://example.com/images/women/600045.jpg,https://example.com/products/600045
600046,W Straight Kurta,Fashion,Kurta,W,1299,1599,19,4.9,10674,In Stock,ShopWise Fashion,No Warranty,Pink,M,Regular Fit,Viscose,Full Sleeve,Round Neck,Solid,Party,Vacation,Machine Wash,"Viscose, Regular Fit, Solid, Machine Wash",W Straight Kurta made from Viscose. Ideal for party occasions with a comfortable regular fit.,https://example.com/images/women/600046.jpg,https://example.com/products/600046
600047,Vero Moda Formal Top,Fashion,Top,Vero Moda,1499,2899,48,5.0,12838,In Stock,ShopWise Fashion,No Warranty,Green,L,Straight Fit,Polyester,Sleeveless,V Neck,Checked,Wedding,College,Machine Wash,"Polyester, Straight Fit, Checked, Machine Wash",Vero Moda Formal Top made from Polyester. Ideal for wedding occasions with a comfortable straight fit.,https://example.com/images/women/600047.jpg,https://example.com/products/600047
600048,Zara Casual Top,Fashion,Top,Zara,999,1799,44,4.0,17503,In Stock,ShopWise Fashion,No Warranty,Green,S,Regular Fit,Cotton Blend,Half Sleeve,Square Neck,Checked,Party,Party,Machine Wash,"Cotton Blend, Regular Fit, Checked, Machine Wash",Zara Casual Top made from Cotton Blend. Ideal for party occasions with a comfortable regular fit.,https://example.com/images/women/600048.jpg,https://example.com/products/600048
600049,AND Office Dress,Fashion,Dress,AND,3099,4299,28,4.2,9860,In Stock,ShopWise Fashion,No Warranty,Green,S,Straight Fit,Polyester,Sleeveless,Collar,Checked,Party,Party,Machine Wash,"Polyester, Straight Fit, Checked, Machine Wash",AND Office Dress made from Polyester. Ideal for party occasions with a comfortable straight fit.,https://example.com/images/women/600049.jpg,https://example.com/products/600049
600050,Vero Moda Elegant Dress,Fashion,Dress,Vero Moda,1299,2499,48,4.3,17148,In Stock,ShopWise Fashion,No Warranty,Lavender,S,Relaxed Fit,Polyester,Sleeveless,Square Neck,Embroidered,Wedding,Vacation,Machine Wash,"Polyester, Relaxed Fit, Embroidered, Machine Wash",Vero Moda Elegant Dress made from Polyester. Ideal for wedding occasions with a comfortable relaxed fit.,https://example.com/images/women/600050.jpg,https://example.com/products/600050
600051,Vero Moda Elegant Dress,Fashion,Dress,Vero Moda,1899,3099,39,4.5,12263,In Stock,ShopWise Fashion,No Warranty,Beige,M,Relaxed Fit,Rayon,Full Sleeve,Collar,Floral,Casual,College,Machine Wash,"Rayon, Relaxed Fit, Floral, Machine Wash",Vero Moda Elegant Dress made from Rayon. Ideal for casual occasions with a comfortable relaxed fit.,https://example.com/images/women/600051.jpg,https://example.com/products/600051
600052,ONLY Crop Top,Fashion,Top,ONLY,2399,3399,29,4.2,3123,In Stock,ShopWise Fashion,No Warranty,Black,XXL,Regular Fit,Viscose,Three-Quarter,Collar,Embroidered,Wedding,Office,Machine Wash,"Viscose, Regular Fit, Embroidered, Machine Wash",ONLY Crop Top made from Viscose. Ideal for wedding occasions with a comfortable regular fit.,https://example.com/images/women/600052.jpg,https://example.com/products/600052
600053,FabIndia Cotton Kurta,Fashion,Kurta,FabIndia,1099,1599,31,4.9,1585,In Stock,ShopWise Fashion,No Warranty,Lavender,L,Slim Fit,Linen,Sleeveless,Round Neck,Embroidered,Festive,Office,Machine Wash,"Linen, Slim Fit, Embroidered, Machine Wash",FabIndia Cotton Kurta made from Linen. Ideal for festive occasions with a comfortable slim fit.,https://example.com/images/women/600053.jpg,https://example.com/products/600053
600054,Vero Moda Formal Top,Fashion,Top,Vero Moda,1999,3199,38,4.3,14285,In Stock,ShopWise Fashion,No Warranty,Red,XL,Straight Fit,Viscose,Full Sleeve,V Neck,Floral,Festive,Daily Wear,Machine Wash,"Viscose, Straight Fit, Floral, Machine Wash",Vero Moda Formal Top made from Viscose. Ideal for festive occasions with a comfortable straight fit.,https://example.com/images/women/600054.jpg,https://example.com/products/600054
600055,FabIndia Cotton Kurta,Fashion,Kurta,FabIndia,1699,2899,41,4.8,13847,In Stock,ShopWise Fashion,No Warranty,Beige,S,A-Line,Linen,Sleeveless,Collar,Checked,Party,Daily Wear,Machine Wash,"Linen, A-Line, Checked, Machine Wash",FabIndia Cotton Kurta made from Linen. Ideal for party occasions with a comfortable a-line.,https://example.com/images/women/600055.jpg,https://example.com/products/600055
600056,Vero Moda Skirt,Fashion,Top,Vero Moda,699,1899,63,4.2,11430,In Stock,ShopWise Fashion,No Warranty,Blue,L,Regular Fit,Linen,Half Sleeve,Round Neck,Checked,Festive,Party,Machine Wash,"Linen, Regular Fit, Checked, Machine Wash",Vero Moda Skirt made from Linen. Ideal for festive occasions with a comfortable regular fit.,https://example.com/images/women/600056.jpg,https://example.com/products/600056
600057,FabIndia Handloom Top,Fashion,Top,FabIndia,2099,3399,38,4.4,9830,In Stock,ShopWise Fashion,No Warranty,Green,S,Regular Fit,Polyester,Full Sleeve,Collar,Embroidered,Travel,Daily Wear,Machine Wash,"Polyester, Regular Fit, Embroidered, Machine Wash",FabIndia Handloom Top made from Polyester. Ideal for travel occasions with a comfortable regular fit.,https://example.com/images/women/600057.jpg,https://example.com/products/600057
600058,Biba Kurta,Fashion,Kurta,Biba,3099,4299,28,4.1,7344,In Stock,ShopWise Fashion,No Warranty,Maroon,XXL,A-Line,Linen,Full Sleeve,Round Neck,Printed,Travel,Office,Machine Wash,"Linen, A-Line, Printed, Machine Wash",Biba Kurta made from Linen. Ideal for travel occasions with a comfortable a-line.,https://example.com/images/women/600058.jpg,https://example.com/products/600058
600059,Zara Floral Dress,Fashion,Dress,Zara,3799,5099,25,4.9,3400,In Stock,ShopWise Fashion,No Warranty,Lavender,XS,Straight Fit,Rayon,Full Sleeve,Square Neck,Embroidered,Wedding,Office,Machine Wash,"Rayon, Straight Fit, Embroidered, Machine Wash",Zara Floral Dress made from Rayon. Ideal for wedding occasions with a comfortable straight fit.,https://example.com/images/women/600059.jpg,https://example.com/products/600059
600060,H&M Summer Dress,Fashion,Dress,H&M,1999,2199,9,4.2,3562,In Stock,ShopWise Fashion,No Warranty,White,XS,Slim Fit,Viscose,Three-Quarter,V Neck,Checked,Travel,Daily Wear,Machine Wash,"Viscose, Slim Fit, Checked, Machine Wash",H&M Summer Dress made from Viscose. Ideal for travel occasions with a comfortable slim fit.,https://example.com/images/women/600060.jpg,https://example.com/products/600060
600061,Zara Maxi Dress,Fashion,Dress,Zara,1799,2599,31,4.1,9536,In Stock,ShopWise Fashion,No Warranty,Green,L,Regular Fit,Linen,Three-Quarter,Square Neck,Printed,Casual,Office,Machine Wash,"Linen, Regular Fit, Printed, Machine Wash",Zara Maxi Dress made from Linen. Ideal for casual occasions with a comfortable regular fit.,https://example.com/images/women/600061.jpg,https://example.com/products/600061
600062,H&M Basic Top,Fashion,Top,H&M,699,899,22,4.5,9746,In Stock,ShopWise Fashion,No Warranty,Red,L,Slim Fit,Linen,Half Sleeve,V Neck,Checked,Travel,College,Machine Wash,"Linen, Slim Fit, Checked, Machine Wash",H&M Basic Top made from Linen. Ideal for travel occasions with a comfortable slim fit.,https://example.com/images/women/600062.jpg,https://example.com/products/600062
600063,Biba Kurta,Fashion,Kurta,Biba,1099,1599,31,4.6,2537,In Stock,ShopWise Fashion,No Warranty,Black,L,A-Line,Rayon,Three-Quarter,Square Neck,Checked,Casual,Daily Wear,Machine Wash,"Rayon, A-Line, Checked, Machine Wash",Biba Kurta made from Rayon. Ideal for casual occasions with a comfortable a-line.,https://example.com/images/women/600063.jpg,https://example.com/products/600063
600064,FabIndia Handloom Top,Fashion,Top,FabIndia,1699,2399,29,4.4,6485,In Stock,ShopWise Fashion,No Warranty,Yellow,L,Regular Fit,Cotton Blend,Sleeveless,V Neck,Checked,Casual,College,Machine Wash,"Cotton Blend, Regular Fit, Checked, Machine Wash",FabIndia Handloom Top made from Cotton Blend. Ideal for casual occasions with a comfortable regular fit.,https://example.com/images/women/600064.jpg,https://example.com/products/600064
600065,Global Desi Printed Kurta,Fashion,Kurta,Global Desi,1299,2599,50,4.4,14271,In Stock,ShopWise Fashion,No Warranty,Pink,S,Relaxed Fit,Linen,Half Sleeve,Round Neck,Embroidered,Party,Office,Machine Wash,"Linen, Relaxed Fit, Embroidered, Machine Wash",Global Desi Printed Kurta made from Linen. Ideal for party occasions with a comfortable relaxed fit.,https://example.com/images/women/600065.jpg,https://example.com/products/600065
600066,H&M Oversized Shirt,Fashion,Top,H&M,1699,3099,45,4.5,9083,In Stock,ShopWise Fashion,No Warranty,Black,M,Relaxed Fit,Polyester,Half Sleeve,Square Neck,Checked,Party,Vacation,Machine Wash,"Polyester, Relaxed Fit, Checked, Machine Wash",H&M Oversized Shirt made from Polyester. Ideal for party occasions with a comfortable relaxed fit.,https://example.com/images/women/600066.jpg,https://example.com/products/600066
