product_id,product_name,category,sub_category,brand,price,original_price,discount_percentage,rating,review_count,stock_status,seller,warranty,color,material,weight,features,description,purpose,image_url,product_url
1000011,USI Weight Plate,Sports & Fitness,Strength,USI,5799,5999,3,4.8,6038,In Stock,ShopWise Sports,6 Months,Black,Rubber,0.5 kg,"Sweat Resistant, Professional Grade, Eco-Friendly","USI Weight Plate made from Rubber with sweat resistant, professional grade, eco-friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000011.jpg,https://example.com/products/1000011
1000012,Nivia Shin Guard,Sports & Fitness,Sports,Nivia,2999,3499,14,4.3,1859,In Stock,ShopWise Sports,6 Months,Green,Cotton,1 kg,"Lightweight, Eco-Friendly, Premium Material","Nivia Shin Guard made from Cotton with lightweight, eco-friendly, premium material. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000012.jpg,https://example.com/products/1000012
1000013,Puma Training Bag,Sports & Fitness,Gym Accessories,Puma,2349,2999,22,4.9,621,In Stock,ShopWise Sports,6 Months,Black,Cotton,5 kg,"Portable, Lightweight, Sweat Resistant","Puma Training Bag made from Cotton with portable, lightweight, sweat resistant. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000013.jpg,https://example.com/products/1000013
1000014,Boldfit Pull-up Band,Sports & Fitness,Resistance Bands,Boldfit,1049,1999,48,4.7,6320,In Stock,ShopWise Sports,6 Months,Blue,Polyester,2 kg,"Lightweight, Professional Grade, High Durability","Boldfit Pull-up Band made from Polyester with lightweight, professional grade, high durability. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000014.jpg,https://example.com/products/1000014
1000015,Adidas Training Gloves,Sports & Fitness,Gym Accessories,Adidas,999,1449,31,4.3,18319,In Stock,ShopWise Sports,6 Months,Grey,PVC,1 kg,"Anti-Slip, Sweat Resistant, High Durability","Adidas Training Gloves made from Steel with anti-slip, sweat resistant, high durability. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000015.jpg,https://example.com/products/1000015
1000016,Nivia Volleyball,Sports & Fitness,Sports,Nivia,2699,3599,25,5.0,15857,In Stock,ShopWise Sports,6 Months,Green,Rubber,10 kg,"Lightweight, Beginner Friendly, Sweat Resistant","Nivia Volleyball made from Rubber with lightweight, beginner friendly, sweat resistant. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000016.jpg,https://example.com/products/1000016
1000017,USI Barbell,Sports & Fitness,Strength,USI,6049,6249,3,4.3,6039,In Stock,ShopWise Sports,6 Months,Grey,Polyester,2 kg,"Lightweight, Eco-Friendly, Professional Grade","USI Barbell made from Rubber with lightweight, eco-friendly, professional grade. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000017.jpg,https://example.com/products/1000017
1000018,Puma Sports Bottle,Sports & Fitness,Accessories,Puma,699,1399,50,4.5,14769,In Stock,ShopWise Sports,6 Months,Grey,PVC,2 kg,"Sweat Resistant, Lightweight, Premium Material","Puma Sports Bottle made from Polyester with sweat resistant, lightweight, premium material. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000018.jpg,https://example.com/products/1000018
1000019,Nivia Shin Guard,Sports & Fitness,Sports,Nivia,4699,4799,2,4.9,18613,In Stock,ShopWise Sports,6 Months,Black,Polyester,5 kg,"Beginner Friendly, Anti-Slip, High Durability","Nivia Shin Guard made from Cotton with beginner friendly, anti-slip, high durability. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000019.jpg,https://example.com/products/1000019
1000020,Puma Yoga Mat,Sports & Fitness,Yoga,Puma,949,1899,50,4.1,2299,In Stock,ShopWise Sports,6 Months,Grey,Steel,1 kg,"Lightweight, Anti-Slip, Sweat Resistant","Puma Yoga Mat made from Cotton with lightweight, anti-slip, sweat resistant. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000020.jpg,https://example.com/products/1000020
1000021,Puma Yoga Mat,Sports & Fitness,Yoga,Puma,2349,3049,23,4.8,16312,In Stock,ShopWise Sports,6 Months,Green,PVC,2 kg,"Portable, High Durability, Lightweight","Puma Yoga Mat made from Cotton with portable, high durability, lightweight. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000021.jpg,https://example.com/products/1000021
1000022,Nike Training Gloves,Sports & Fitness,Gym Accessories,Nike,2199,2899,24,4.6,19451,In Stock,ShopWise Sports,6 Months,Black,Cotton,2 kg,"Sweat Resistant, High Durability, Lightweight","Nike Training Gloves made from Rubber with sweat resistant, high durability, lightweight. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000022.jpg,https://example.com/products/1000022
1000023,Adidas Gym Bag,Sports & Fitness,Gym Accessories,Adidas,2849,3199,11,4.9,10472,In Stock,ShopWise Sports,6 Months,Blue,Cotton,1 kg,"Lightweight, Anti-Slip, Portable","Adidas Gym Bag made from PVC with lightweight, anti-slip, portable. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000023.jpg,https://example.com/products/1000023
1000024,Adidas Football,Sports & Fitness,Sports,Adidas,5449,6349,14,4.5,14125,In Stock,ShopWise Sports,6 Months,Red,EVA Foam,1 kg,"Portable, Premium Material, Eco-Friendly","Adidas Football made from Cotton with portable, premium material, eco-friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000024.jpg,https://example.com/products/1000024
1000025,Decathlon Foam Roller,Sports & Fitness,Recovery,Decathlon,949,1549,39,4.3,5709,In Stock,ShopWise Sports,6 Months,Black,PVC,5 kg,"Beginner Friendly, Lightweight, Portable","Decathlon Foam Roller made from Cotton with beginner friendly, lightweight, portable. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000025.jpg,https://example.com/products/1000025
1000026,Puma Yoga Mat,Sports & Fitness,Yoga,Puma,1599,1899,16,4.1,18942,In Stock,ShopWise Sports,6 Months,Grey,EVA Foam,2 kg,"Premium Material, Anti-Slip, Professional Grade","Puma Yoga Mat made from Cotton with premium material, anti-slip, professional grade. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000026.jpg,https://example.com/products/1000026
1000027,USI Barbell,Sports & Fitness,Strength,USI,7649,8549,11,4.1,19786,In Stock,ShopWise Sports,6 Months,Black,Cotton,5 kg,"Beginner Friendly, Anti-Slip, Sweat Resistant","USI Barbell made from Polyester with beginner friendly, anti-slip, sweat resistant. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000027.jpg,https://example.com/products/1000027
1000028,Nike Training Mat,Sports & Fitness,Yoga,Nike,1949,2899,33,4.2,12497,In Stock,ShopWise Sports,6 Months,Red,Steel,0.5 kg,"Lightweight, Sweat Resistant, Portable","Nike Training Mat made from Cotton with lightweight, sweat resistant, portable. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000028.jpg,https://example.com/products/1000028
1000029,Adidas Resistance Band,Sports & Fitness,Resistance Bands,Adidas,999,1349,26,4.3,2314,In Stock,ShopWise Sports,6 Months,Green,EVA Foam,1 kg,"Anti-Slip, Sweat Resistant, Professional Grade","Adidas Resistance Band made from Rubber with anti-slip, sweat resistant, professional grade. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000029.jpg,https://example.com/products/1000029
1000030,USI Kettlebell,Sports & Fitness,Strength,USI,8549,9499,10,4.0,14301,In Stock,ShopWise Sports,6 Months,Grey,Steel,10 kg,"High Durability, Lightweight, Eco-Friendly","USI Kettlebell made from Rubber with high durability, lightweight, eco-friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000030.jpg,https://example.com/products/1000030
1000031,USI Barbell,Sports & Fitness,Strength,USI,3249,3399,4,4.6,4156,In Stock,ShopWise Sports,6 Months,Blue,Steel,2 kg,"Beginner Friendly, Portable, Premium Material","USI Barbell made from PVC with beginner friendly, portable, premium material. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000031.jpg,https://example.com/products/1000031
1000032,Nike Running Bottle,Sports & Fitness,Accessories,Nike,1149,1999,43,4.5,7515,In Stock,ShopWise Sports,6 Months,Grey,PVC,10 kg,"High Durability, Professional Grade, Lightweight","Nike Running Bottle made from Rubber with high durability, professional grade, lightweight. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000032.jpg,https://example.com/products/1000032
1000033,USI Barbell,Sports & Fitness,Strength,USI,8349,8749,5,4.5,14097,In Stock,ShopWise Sports,6 Months,Black,Rubber,10 kg,"Portable, Professional Grade, High Durability","USI Barbell made from Rubber with portable, professional grade, high durability. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000033.jpg,https://example.com/products/1000033
1000034,Nivia Goalkeeper Gloves,Sports & Fitness,Sports,Nivia,4649,4899,5,4.4,3228,In Stock,ShopWise Sports,6 Months,Red,PVC,1 kg,"Lightweight, Portable, Beginner Friendly","Nivia Goalkeeper Gloves made from EVA Foam with lightweight, portable, beginner friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000034.jpg,https://example.com/products/1000034
1000035,Boldfit Pull-up Band,Sports & Fitness,Resistance Bands,Boldfit,1349,1749,23,4.3,14290,In Stock,ShopWise Sports,6 Months,Blue,EVA Foam,1 kg,"Portable, Anti-Slip, Sweat Resistant","Boldfit Pull-up Band made from Steel with portable, anti-slip, sweat resistant. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000035.jpg,https://example.com/products/1000035
1000036,Nivia Goalkeeper Gloves,Sports & Fitness,Sports,Nivia,4799,5299,9,4.7,17175,In Stock,ShopWise Sports,6 Months,Red,Cotton,10 kg,"Anti-Slip, Eco-Friendly, Premium Material","Nivia Goalkeeper Gloves made from Rubber with anti-slip, eco-friendly, premium material. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000036.jpg,https://example.com/products/1000036
1000037,USI Kettlebell,Sports & Fitness,Strength,USI,8099,8449,4,4.2,11652,In Stock,ShopWise Sports,6 Months,Red,Polyester,10 kg,"High Durability, Portable, Lightweight","USI Kettlebell made from Rubber with high durability, portable, lightweight. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000037.jpg,https://example.com/products/1000037
1000038,Boldfit Pull-up Band,Sports & Fitness,Resistance Bands,Boldfit,349,1099,68,4.3,7350,In Stock,ShopWise Sports,6 Months,Grey,Rubber,2 kg,"Professional Grade, Sweat Resistant, Lightweight","Boldfit Pull-up Band made from Rubber with professional grade, sweat resistant, lightweight. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000038.jpg,https://example.com/products/1000038
1000039,Nivia Goalkeeper Gloves,Sports & Fitness,Sports,Nivia,2049,2699,24,4.2,12405,In Stock,ShopWise Sports,6 Months,Blue,PVC,2 kg,"Portable, Anti-Slip, Eco-Friendly","Nivia Goalkeeper Gloves made from Rubber with portable, anti-slip, eco-friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000039.jpg,https://example.com/products/1000039
1000040,USI Kettlebell,Sports & Fitness,Strength,USI,2299,2699,15,4.9,17068,In Stock,ShopWise Sports,6 Months,Black,Steel,2 kg,"Sweat Resistant, Professional Grade, Beginner Friendly","USI Kettlebell made from Steel with sweat resistant, professional grade, beginner friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000040.jpg,https://example.com/products/1000040
1000041,Nivia Volleyball,Sports & Fitness,Sports,Nivia,2649,3149,16,4.9,1177,In Stock,ShopWise Sports,6 Months,Red,Steel,0.5 kg,"Anti-Slip, Eco-Friendly, Sweat Resistant","Nivia Volleyball made from EVA Foam with anti-slip, eco-friendly, sweat resistant. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000041.jpg,https://example.com/products/1000041
1000042,Puma Sports Bottle,Sports & Fitness,Accessories,Puma,899,1199,25,4.3,9721,In Stock,ShopWise Sports,6 Months,Grey,EVA Foam,5 kg,"Portable, Beginner Friendly, Anti-Slip","Puma Sports Bottle made from PVC with portable, beginner friendly, anti-slip. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000042.jpg,https://example.com/products/1000042
1000043,Cosco Basketball,Sports & Fitness,Sports,Cosco,4599,4749,3,4.6,8353,In Stock,ShopWise Sports,6 Months,Blue,Polyester,2 kg,"Sweat Resistant, Professional Grade, Lightweight","Cosco Basketball made from PVC with sweat resistant, professional grade, lightweight. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000043.jpg,https://example.com/products/1000043
1000044,USI Barbell,Sports & Fitness,Strength,USI,8149,8899,8,4.8,14799,In Stock,ShopWise Sports,6 Months,Blue,Polyester,1 kg,"Beginner Friendly, Anti-Slip, Premium Material","USI Barbell made from PVC with beginner friendly, anti-slip, premium material. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000044.jpg,https://example.com/products/1000044
1000045,Puma Yoga Mat,Sports & Fitness,Yoga,Puma,2049,2199,7,4.4,4599,In Stock,ShopWise Sports,6 Months,Red,PVC,2 kg,"Beginner Friendly, High Durability, Eco-Friendly","Puma Yoga Mat made from Polyester with beginner friendly, high durability, eco-friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000045.jpg,https://example.com/products/1000045
1000046,Nivia Volleyball,Sports & Fitness,Sports,Nivia,4399,4649,5,4.7,4014,In Stock,ShopWise Sports,6 Months,Blue,Steel,10 kg,"Professional Grade, Eco-Friendly, Beginner Friendly","Nivia Volleyball made from Cotton with professional grade, eco-friendly, beginner friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000046.jpg,https://example.com/products/1000046
1000047,Boldfit Foam Roller,Sports & Fitness,Recovery,Boldfit,1299,2199,41,4.6,10183,In Stock,ShopWise Sports,6 Months,Green,PVC,10 kg,"Professional Grade, High Durability, Portable","Boldfit Foam Roller made from Rubber with professional grade, high durability, portable. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000047.jpg,https://example.com/products/1000047
1000048,USI Barbell,Sports & Fitness,Strength,USI,4299,4549,5,4.9,19545,In Stock,ShopWise Sports,6 Months,Black,EVA Foam,10 kg,"Eco-Friendly, Lightweight, Professional Grade","USI Barbell made from EVA Foam with eco-friendly, lightweight, professional grade. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000048.jpg,https://example.com/products/1000048
1000049,Boldfit Foam Roller,Sports & Fitness,Recovery,Boldfit,1099,1349,19,4.3,7611,In Stock,ShopWise Sports,6 Months,Grey,Rubber,2 kg,"Sweat Resistant, Portable, Lightweight","Boldfit Foam Roller made from EVA Foam with sweat resistant, portable, lightweight. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000049.jpg,https://example.com/products/1000049
1000050,Cosco Football,Sports & Fitness,Sports,Cosco,5299,5799,9,4.1,14032,In Stock,ShopWise Sports,6 Months,Red,Rubber,2 kg,"Lightweight, Premium Material, Professional Grade","Cosco Football made from PVC with lightweight, premium material, professional grade. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000050.jpg,https://example.com/products/1000050
1000051,USI Kettlebell,Sports & Fitness,Strength,USI,7349,7599,3,4.1,19542,In Stock,ShopWise Sports,6 Months,Green,Polyester,10 kg,"Premium Material, Portable, Eco-Friendly","USI Kettlebell made from Rubber with premium material, portable, eco-friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000051.jpg,https://example.com/products/1000051
1000052,Nike Gym Bag,Sports & Fitness,Gym Accessories,Nike,649,1249,48,4.7,6421,In Stock,ShopWise Sports,6 Months,Green,Cotton,5 kg,"Anti-Slip, Professional Grade, Beginner Friendly","Nike Gym Bag made from Rubber with anti-slip, professional grade, beginner friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000052.jpg,https://example.com/products/1000052
1000053,Puma Sports Bottle,Sports & Fitness,Accessories,Puma,1099,1499,27,4.8,11532,In Stock,ShopWise Sports,6 Months,Black,EVA Foam,2 kg,"Beginner Friendly, High Durability, Anti-Slip","Puma Sports Bottle made from Steel with beginner friendly, high durability, anti-slip. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000053.jpg,https://example.com/products/1000053
1000054,Cosco Football,Sports & Fitness,Sports,Cosco,2699,3449,22,4.9,19797,In Stock,ShopWise Sports,6 Months,Red,EVA Foam,1 kg,"Beginner Friendly, Professional Grade, Anti-Slip","Cosco Football made from PVC with beginner friendly, professional grade, anti-slip. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000054.jpg,https://example.com/products/1000054
1000055,Nike Training Gloves,Sports & Fitness,Gym Accessories,Nike,1849,2249,18,4.9,4887,In Stock,ShopWise Sports,6 Months,Red,Steel,1 kg,"High Durability, Premium Material, Professional Grade","Nike Training Gloves made from Steel with high durability, premium material, professional grade. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000055.jpg,https://example.com/products/1000055
1000056,Adidas Football,Sports & Fitness,Sports,Adidas,599,1149,48,5.0,8182,In Stock,ShopWise Sports,6 Months,Blue,Rubber,2 kg,"Lightweight, Professional Grade, Eco-Friendly","Adidas Football made from Polyester with lightweight, professional grade, eco-friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000056.jpg,https://example.com/products/1000056
1000057,Puma Sports Bottle,Sports & Fitness,Accessories,Puma,699,1349,48,4.6,17395,In Stock,ShopWise Sports,6 Months,Black,Polyester,0.5 kg,"Professional Grade, Beginner Friendly, Premium Material","Puma Sports Bottle made from Cotton with professional grade, beginner friendly, premium material. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000057.jpg,https://example.com/products/1000057
1000058,Cosco Football,Sports & Fitness,Sports,Cosco,1199,1949,38,4.8,19480,In Stock,ShopWise Sports,6 Months,Red,Cotton,2 kg,"Sweat Resistant, Anti-Slip, Lightweight","Cosco Football made from Steel with sweat resistant, anti-slip, lightweight. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000058.jpg,https://example.com/products/1000058
1000059,Boldfit Yoga Mat,Sports & Fitness,Yoga,Boldfit,1599,2149,26,4.0,11760,In Stock,ShopWise Sports,6 Months,Green,PVC,10 kg,"Professional Grade, Lightweight, Anti-Slip","Boldfit Yoga Mat made from Rubber with professional grade, lightweight, anti-slip. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000059.jpg,https://example.com/products/1000059
1000060,Puma Sports Bottle,Sports & Fitness,Accessories,Puma,749,1199,38,4.2,6125,In Stock,ShopWise Sports,6 Months,Red,Rubber,2 kg,"Lightweight, Professional Grade, Sweat Resistant","Puma Sports Bottle made from PVC with lightweight, professional grade, sweat resistant. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000060.jpg,https://example.com/products/1000060
1000061,Cosco Cricket Bat,Sports & Fitness,Sports,Cosco,2799,3499,20,4.5,7965,In Stock,ShopWise Sports,6 Months,Green,PVC,2 kg,"Premium Material, Lightweight, Beginner Friendly","Cosco Cricket Bat made from EVA Foam with premium material, lightweight, beginner friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000061.jpg,https://example.com/products/1000061
1000062,Cosco Football,Sports & Fitness,Sports,Cosco,2499,3099,19,4.5,10891,In Stock,ShopWise Sports,6 Months,Grey,PVC,5 kg,"Professional Grade, Premium Material, Sweat Resistant","Cosco Football made from Rubber with professional grade, premium material, sweat resistant. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000062.jpg,https://example.com/products/1000062
1000063,Boldfit Yoga Mat,Sports & Fitness,Yoga,Boldfit,549,1099,50,4.7,17203,In Stock,ShopWise Sports,6 Months,Blue,Steel,1 kg,"Portable, High Durability, Beginner Friendly","Boldfit Yoga Mat made from Polyester with portable, high durability, beginner friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000063.jpg,https://example.com/products/1000063
1000064,Nike Running Bottle,Sports & Fitness,Accessories,Nike,199,1099,82,4.8,19059,In Stock,ShopWise Sports,6 Months,Grey,Steel,2 kg,"Anti-Slip, High Durability, Beginner Friendly","Nike Running Bottle made from PVC with anti-slip, high durability, beginner friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000064.jpg,https://example.com/products/1000064
1000065,Puma Sports Bottle,Sports & Fitness,Accessories,Puma,649,899,28,4.7,2830,In Stock,ShopWise Sports,6 Months,Blue,Cotton,10 kg,"Premium Material, Sweat Resistant, Beginner Friendly","Puma Sports Bottle made from Polyester with premium material, sweat resistant, beginner friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000065.jpg,https://example.com/products/1000065
1000066,Decathlon Skipping Rope,Sports & Fitness,Cardio,Decathlon,1699,2449,31,4.9,11978,In Stock,ShopWise Sports,6 Months,Red,EVA Foam,1 kg,"Sweat Resistant, Professional Grade, High Durability","Decathlon Skipping Rope made from PVC with sweat resistant, professional grade, high durability. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000066.jpg,https://example.com/products/1000066
1000067,Puma Sports Bottle,Sports & Fitness,Accessories,Puma,999,1399,29,4.4,5568,In Stock,ShopWise Sports,6 Months,Grey,Polyester,2 kg,"High Durability, Beginner Friendly, Premium Material","Puma Sports Bottle made from Rubber with high durability, beginner friendly, premium material. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000067.jpg,https://example.com/products/1000067
1000068,Boldfit Foam Roller,Sports & Fitness,Recovery,Boldfit,1649,2549,35,4.7,10095,In Stock,ShopWise Sports,6 Months,Green,EVA Foam,10 kg,"Anti-Slip, Portable, Eco-Friendly","Boldfit Foam Roller made from Steel with anti-slip, portable, eco-friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000068.jpg,https://example.com/products/1000068
1000069,USI Kettlebell,Sports & Fitness,Strength,USI,2899,3249,11,4.0,3568,In Stock,ShopWise Sports,6 Months,Blue,Steel,5 kg,"Premium Material, Eco-Friendly, Anti-Slip","USI Kettlebell made from Rubber with premium material, eco-friendly, anti-slip. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000069.jpg,https://example.com/products/1000069
1000070,Adidas Training Gloves,Sports & Fitness,Gym Accessories,Adidas,749,999,25,4.2,19760,In Stock,ShopWise Sports,6 Months,Blue,Polyester,5 kg,"Sweat Resistant, Beginner Friendly, Premium Material","Adidas Training Gloves made from Polyester with sweat resistant, beginner friendly, premium material. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000070.jpg,https://example.com/products/1000070
